Source_Name,Flux1000,Energy_Flux100,PL_Index,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,ASSOC1
4FGL J0000.3-7355,1.42056e-10,1.62246e-12,2.19407,14.0229,0.381534,0.345251,,
4FGL J0000.5+0743,1.73038e-10,2.27156e-12,2.39332,17.7172,0.531783,0.290873,,
4FGL J0001.2+4741,1.21592e-10,1.40676e-12,2.22215,20.0187,0.692849,0.406995,bcu,B3 2358+474
4FGL J0001.2-0747,8.23205e-10,9.17143e-12,2.10494,33.2287,0.332793,0.1084,bll,PMN J0001-0746
4FGL J0001.5+2113,1.35905e-09,2.61421e-11,2.65931,1564.42,1.05458,0.249802,fsrq,TXS 2358+209
4FGL J0001.6-4156,3.04869e-10,3.91251e-12,1.75589,16.149,0.327966,0.172135,bcu,2MASS J00013275-4155252
4FGL J0002.1-6728,2.41685e-10,2.88827e-12,1.84647,13.4791,0.306635,0.192106,bcu,SUMSS J000215-672653
4FGL J0002.1+6721c,6.61802e-10,6.15905e-12,2.6199,8.47295,0.0,10.0,unk,1RXS J000209.4+672503
4FGL J0002.3-0815,1.16935e-10,1.30978e-12,1.9896,11.5246,0.312317,0.720638,bcu,WISEA J000236.06-081532.4
4FGL J0002.4-5156,7.62181e-11,8.83915e-13,1.89716,18.141,0.742365,0.536823,bcu,WISE J000229.20-515227.4
4FGL J0002.7+7220,2.48429e-10,3.40241e-12,2.43537,16.2045,0.33796,0.317569,spp,SNR G119.5+10.2
4FGL J0002.8+6217,2.54539e-09,1.77205e-11,2.45658,6.01004,0.0,10.0,PSR,PSR J0002+6216
4FGL J0003.1-5248,3.15298e-10,3.70132e-12,1.87506,5.08812,0.0,10.0,bcu,RBS 0006
4FGL J0003.2+2207,1.35145e-10,1.55474e-12,2.21046,5.17513,0.0,10.0,bll,2MASX J00032450+2204559
4FGL J0003.3+2511,2.00996e-10,2.48038e-12,2.32238,2.70367,0.0,10.0,,
4FGL J0003.3-1928,4.01647e-10,2.98845e-12,2.27757,45.8871,0.644129,0.188864,bcu,PKS 0000-197
4FGL J0003.3-5905,1.30306e-10,1.83409e-12,2.46062,4.49442,0.0,10.0,bcu,PMN J0003-5905
4FGL J0003.6+3059,4.41637e-10,1.96512e-12,2.19868,6.16549,0.0,10.0,,
4FGL J0003.9-1149,3.50518e-10,2.21869e-12,2.08711,4.35857,0.0,10.0,bll,PMN J0004-1148
4FGL J0004.0+5715,3.57661e-10,4.83788e-12,2.42343,10.4412,0.248798,0.27492,,
4FGL J0004.0+0840,1.91857e-10,2.1335e-12,2.03532,11.3526,0.378928,0.394662,bll,SDSS J000359.23+084138.1
