4FGL_name	redshift	SED type	nu_sync
4FGL J0001.2+4741	-3333	ISP	1.0E14
4FGL J0001.2-0747	-3333	LSP	9.120108E13
4FGL J0001.4-0010	0.461516	LSP	3.60993915E12
4FGL J0001.5+2113	1.106	ISP	1.58489326E14
4FGL J0001.6-4156	-3333	HSP	7.3282455E15
4FGL J0001.8-2153	-3333	LSP	1.65958795E13
4FGL J0002.1-6728	-3333		0.0
4FGL J0002.3-0815	-3333	LSP	7.5857754E13
4FGL J0002.4-5156	-3333		0.0
4FGL J0003.1-5248	-3333		0.0
4FGL J0003.2+2207	0.09983	LSP	8.3176379E13
4FGL J0003.3-1928	-3333	LSP	2.29086761E13
4FGL J0003.3-5905	-3333		0.0
4FGL J0003.5+0717	-3333	LSP	3.44746911E12
4FGL J0003.9-1149	1.30999	LSP	2.45470881E12
4FGL J0004.0+0840	2.057129	ISP	3.01995156E14
4FGL J0004.3+4614	1.81	LSP	2.57039584E12
4FGL J0004.4-4737	0.88	LSP	1.31825674E13
4FGL J0005.9+3824	0.229	LSP	1.31825674E13
4FGL J0006.3-0620	0.347	LSP	8.3176378E12
4FGL J0006.4+0135	0.787	ISP	2.29086761E14
4FGL J0006.4-5621	0.2912	LSP	2.07730429E12
4FGL J0007.7+4008	-3333		0.0
4FGL J0008.0+4711	0.28	LSP	3.34965443E13
4FGL J0008.0-3937	-3333	LSP	3.16227768E12
4FGL J0008.4-2339	0.147		0.0
4FGL J0008.4+1455	-3333		0.0
4FGL J0009.1+0628	1.562629	LSP	2.45470887E13
4FGL J0009.3+5030	-3333	HSP	1.25892538E15
4FGL J0009.7-3217	0.02542	ISP	1.49623558E14
4FGL J0009.8-4317	0.56		0.0
4FGL J0009.8+1340	-3333	HSP	1.56675103E16
4FGL J0009.8-6358	-3333	LSP	1.01157972E13
4FGL J0010.6+2043	0.6	LSP	3.63078065E12
4FGL J0010.6-3025	1.19	LSP	9.6605087E12
4FGL J0010.8-2154	-3333		0.0
4FGL J0011.4-4110	0.091	ISP	6.6069348E14
4FGL J0011.4+0057	1.492	LSP	6.9183099E12
4FGL J0011.8-3142	-3333		0.0
4FGL J0013.0+3355	1.682	LSP	3.16227768E12
4FGL J0013.1-3955	-3333	LSP	7.2443594E12
4FGL J0013.4+0950	-3333	HSP	2.06538019E16
4FGL J0013.6+4051	0.2555	LSP	6.2373484E12
4FGL J0013.6-0424	1.075	LSP	1.44543973E12
4FGL J0013.9-1854	0.094846	HSP	8.7096362E16
4FGL J0014.1+1910	0.477	LSP	4.6773515E13
4FGL J0014.1-5022	0.01	HSP	4.57088184E17
4FGL J0014.2+0854	0.163		0.0
4FGL J0014.3-0500	0.791	LSP	1.0964782E13
4FGL J0014.9+3212	-3333	LSP	9.9999998E12
4FGL J0015.2+3537	0.57	ISP	2.75422864E14
4FGL J0015.9+2440	-3333		0.0
4FGL J0016.2-0016	1.57631	LSP	2.57039584E12
4FGL J0016.5+1702	1.709		0.0
4FGL J0017.0-0649	-3333	LSP	6.3826347E13
4FGL J0017.5-0514	0.227	LSP	8.4918047E12
4FGL J0017.8+1455	0.302712	ISP	1.58489326E14
4FGL J0018.4+2946	0.1		0.0
4FGL J0018.8+2611	0.28	LSP	2.0892946E13
4FGL J0019.2-5640	-3333	LSP	2.78612122E12
4FGL J0019.3-8152	-3333	ISP	7.5422337E14
4FGL J0019.6+7327	1.781	LSP	2.08929607E12
4FGL J0019.6+2022	-3333	LSP	2.29086777E12
4FGL J0021.0+0322	-3333		0.0
4FGL J0021.5-2552	-3333	ISP	4.12097515E14
4FGL J0021.6-0855	0.648		0.0
4FGL J0021.9-5140	0.25	ISP	6.6069348E14
4FGL J0022.0+0006	0.306	HSP	1.3489629E17
4FGL J0022.1-1854	-3333	LSP	6.6069344E13
4FGL J0022.5+0608	-3333	LSP	1.39636832E13
4FGL J0023.7-6820	0.354	LSP	2.2646444E13
4FGL J0023.7+4457	1.062		0.0
4FGL J0023.9+1603	-3333	LSP	5.7543993E13
4FGL J0024.4+4647	-3333		0.0
4FGL J0024.5-0810	-3333	LSP	3.50751923E12
4FGL J0024.7+0349	0.545		0.0
4FGL J0025.2-2231	0.834	LSP	9.4406091E13
4FGL J0025.7-4801	-3333	LSP	1.90546077E13
4FGL J0026.6-4600	-3333		0.0
4FGL J0028.1+7505	-3333	LSP	3.16227768E13
4FGL J0028.5+2001	1.552007	LSP	2.5703948E12
4FGL J0028.8-0112	0.082	ISP	1.0E14
4FGL J0028.9+3553	-3333	LSP	7.5857754E13
4FGL J0029.0-7044	-3333	LSP	2.08929607E13
4FGL J0029.4+2051	-3333	HSP	4.7863008E15
4FGL J0030.2-1647	0.237	HSP	3.54813395E15
4FGL J0030.3-4224	0.495	LSP	1.01157941E13
4FGL J0030.6-0212	1.804	LSP	3.63078065E12
4FGL J0031.3+0726	-3333	ISP	7.4989418E14
4FGL J0032.3-5522	-3333		0.0
4FGL J0032.4-2849	0.323888	LSP	4.3651581E13
4FGL J0032.5-4724	-3333	HSP	8.317639E15
4FGL J0033.3-2040	0.073		0.0
4FGL J0033.5-1921	0.61	HSP	7.0794579E15
4FGL J0033.9+3858	-3333	LSP	9.3325435E12
4FGL J0034.0-4116	-3333	LSP	9.3325435E12
4FGL J0035.0-5728	-3333	ISP	4.46683578E14
4FGL J0035.2+1514	1.09026	ISP	9.7050994E14
4FGL J0035.8-0837	0.032	LSP	5.7543995E12
4FGL J0036.8+1431	-3333	LSP	7.079464E12
4FGL J0036.9+1832	1.595		0.0
4FGL J0037.6+3653	0.366	LSP	3.6307804E13
4FGL J0037.8+1239	0.089	HSP	1.12460497E15
4FGL J0037.9+2612	0.14767		0.0
4FGL J0038.1+0012	0.7395	LSP	6.3826347E13
4FGL J0038.2-2459	1.196	LSP	2.57039584E12
4FGL J0038.7-0204	0.22043		0.0
4FGL J0039.0-0946	2.1015	LSP	3.01995183E12
4FGL J0039.1-2219	0.0615		0.0
4FGL J0039.1+4330	-3333	ISP	5.6234131E14
4FGL J0040.3+4050	-3333	LSP	1.90546077E13
4FGL J0040.4-2340	0.213	ISP	3.16227772E14
4FGL J0040.9+3203	-3333		0.0
4FGL J0041.4+3800	0.38	HSP	1.79887095E15
4FGL J0041.7-1607	-3333	ISP	1.58489326E14
4FGL J0041.9-4702	0.15	ISP	6.9183098E14
4FGL J0042.0+3640	0.47		0.0
4FGL J0042.2+2319	1.426	LSP	1.86208708E12
4FGL J0043.5-0442	0.48		0.0
4FGL J0043.6+2223	-3333	LSP	8.2224263E13
4FGL J0043.7-1116	0.264	HSP	3.01995176E15
4FGL J0043.8+3425	0.966	LSP	5.8884367E13
4FGL J0044.2-8424	1.032	LSP	9.1201082E12
4FGL J0044.9+4553	-3333	LSP	1.51356231E13
4FGL J0045.1-3706	1.033	LSP	5.3703182E12
4FGL J0045.3+2128	-3333	HSP	7.9432822E15
4FGL J0045.7+1217	-3333		0.0
4FGL J0047.1-6203	-3333		0.0
4FGL J0047.9+3947	0.2517		0.0
4FGL J0047.9+2233	1.161	LSP	4.4668357E12
4FGL J0048.6-2427	-3333	ISP	5.6234131E14
4FGL J0049.0+2252	0.26415	ISP	1.58489326E14
4FGL J0049.1+4223	0.302		0.0
4FGL J0049.4-5402	-3333		0.0
4FGL J0049.5-4150	-3333	HSP	6.4565422E15
4FGL J0049.6-4500	0.121	LSP	3.38844162E12
4FGL J0049.7+0237	1.474	LSP	2.29086761E13
4FGL J0050.0-5736	1.797	LSP	3.58096437E12
4FGL J0050.4-0452	0.92	LSP	3.54813398E12
4FGL J0050.7-0929	0.635	ISP	1.31825674E14
4FGL J0050.8-3428	-3333	ISP	4.26579641E14
4FGL J0051.1-0648	1.975	LSP	1.48251804E12
4FGL J0051.2-6242	0.3	HSP	9.0364952E15
4FGL J0051.5-4220	1.749	LSP	1.13501078E12
4FGL J0052.9-6644	-3333		0.0
4FGL J0054.4+8627	-3333	LSP	4.7863012E12
4FGL J0054.7-2455	0.12	HSP	5.6493697E15
4FGL J0054.8-1954	-3333	LSP	4.8977884E12
4FGL J0055.1-1219	-3333	LSP	2.01836632E12
4FGL J0056.3-0935	0.103147	ISP	1.46217716E14
4FGL J0056.4-2118	-3333	ISP	3.09029541E14
4FGL J0056.5-3936	0.263	LSP	8.7096358E13
4FGL J0056.6-4452	-3333	LSP	2.08929607E13
4FGL J0056.6-5317	-3333	ISP	3.34965439E14
4FGL J0056.8+1626	0.206	LSP	1.86208708E12
4FGL J0057.0+4101	-3333	ISP	1.79887088E14
4FGL J0057.3+2216	-3333	LSP	3.63078065E12
4FGL J0057.7+3023	0.016485	LSP	4.0738029E13
4FGL J0058.0-0539	1.2456	LSP	3.63078065E12
4FGL J0058.0-3233	-3333	LSP	3.6307804E13
4FGL J0058.3+1723	-3333	HSP	1.99526228E16
4FGL J0058.4+3315	1.369	LSP	9.885531E12
4FGL J0058.6-1140	-3333		0.0
4FGL J0059.2+0006	0.719017	LSP	1.77827941E13
4FGL J0059.3-0152	0.144	HSP	9.2257143E16
4FGL J0059.5-3512	-3333		0.0
4FGL J0059.5-3338	0.874	LSP	1.47910841E13
4FGL J0100.3+0745	-3333	ISP	3.80189398E14
4FGL J0101.0-0059	0.67	ISP	1.58489326E14
4FGL J0101.7-5455	0.261		0.0
4FGL J0101.8-7543	1.017		0.0
4FGL J0102.0+1639	-3333	LSP	1.73780081E13
4FGL J0102.4+4214	0.874	LSP	6.3826347E13
4FGL J0102.4+0942	0.42		0.0
4FGL J0102.6-5639	-3333	LSP	2.41824338E13
4FGL J0102.7-2001	0.38	HSP	1.07151929E16
4FGL J0103.1+4954	-3333		0.0
4FGL J0103.5+1526	0.246		0.0
4FGL J0103.8+1321	0.49		0.0
4FGL J0104.8-2416	1.747	LSP	1.46217723E12
4FGL J0105.1+3929	0.44	LSP	2.51188646E13
4FGL J0106.9-4832	-3333	LSP	1.39636832E13
4FGL J0107.3-1210	-3333	ISP	2.72270124E14
4FGL J0107.4+0334	-3333	LSP	2.29086761E13
4FGL J0107.6+4950	-3333	ISP	1.0E14
4FGL J0108.1-0039	1.374626	LSP	1.01157941E13
4FGL J0108.6+0134	2.099	LSP	3.25087291E12
4FGL J0109.1+1815	0.145	ISP	2.39883285E14
4FGL J0109.3+2401	-3333	ISP	3.31131107E14
4FGL J0110.0-4019	0.313	HSP	2.01836641E16
4FGL J0110.2+4151	0.096	HSP	3.89045144E15
4FGL J0110.3-0431	-3333	LSP	3.31131472E13
4FGL J0110.7-1254	0.234	HSP	9.9999998E16
4FGL J0110.9+4344	-3333	ISP	2.98538278E14
4FGL J0111.4+0534	0.346	ISP	3.01995156E14
4FGL J0111.5-2546	-3333	ISP	3.98107162E14
4FGL J0112.0-6634	1.1888	LSP	5.8884363E12
4FGL J0112.1+2245	0.265	LSP	6.4268771E13
4FGL J0112.1-0321	0.77177	ISP	3.01995156E14
4FGL J0112.6-3158	-3333	ISP	3.7153524E14
4FGL J0112.8-7506	-3333	ISP	5.55904261E14
4FGL J0112.8+3208	0.603	LSP	7.3282455E12
4FGL J0113.1-3553	1.22	LSP	6.3095733E12
4FGL J0113.4+4948	0.389	LSP	2.08929607E13
4FGL J0113.7+0225	0.047	LSP	1.90546077E13
4FGL J0114.8+1326	0.583	ISP	6.3095734E14
4FGL J0114.9-3400	0.48	ISP	3.31131107E14
4FGL J0115.1+2622	-3333	ISP	1.20226444E14
4FGL J0115.1-0129	1.365	LSP	2.51188635E12
4FGL J0115.6+0356	-3333	ISP	5.19995985E14
4FGL J0115.8+2519	0.358	HSP	5.6493697E15
4FGL J0116.0-1136	0.67	LSP	6.3095733E12
4FGL J0116.0-2745	-3333	HSP	1.99526228E17
4FGL J0116.2-6153	-3333	ISP	6.6069348E14
4FGL J0116.5-2812	0.7		0.0
4FGL J0116.5-3046	1.414		0.0
