,Name,Photon Flux (ph/cm2/s),Photon Count,Duration (s),Background Counts,Start Time (s),Start Time (MJD),Class,Duration (weeks),MDP99,Fluence (ph/cm2)
266,4FGL J1044.6+8053,0.0034187524706536837,175780.44885783643,9374400.0,93744.0,4773902401.0,55253.50001157408,FSRQ,15.5,4.223422717849267,32048.753160895893
267,4FGL J1044.6+8053,0.011728155678993808,603021.2737612822,65318400.0,653184.0,4829544001.0,55897.50001157408,FSRQ,108.0,2.657869845169608,766064.3639027892
268,4FGL J1044.6+8053,0.013439857596273475,691031.0767268385,121867200.0,1218672.0,4913611201.0,56870.50001157408,FSRQ,201.5,2.8597059742011006,1637877.8136565788
269,4FGL J1044.6+8053,0.0037495161261666627,192787.1740685719,14212800.0,142128.0,5054227201.0,58498.00001157408,FSRQ,23.5,4.292648345196596,53291.122797981545
270,4FGL J1044.6+8053,0.0017830228304996534,91676.87808912102,2721600.0,27216.0,5080536001.0,58802.50001157408,FSRQ,4.5,5.378412925648965,4852.674935487857
271,4FGL J1044.6+8053,0.0012150396157984593,62473.142141311175,3326400.0,33264.0,5156438401.0,59681.00001157408,FSRQ,5.5,7.08244021723934,4041.707777991995
272,4FGL J1044.6+8053,0.002690038792101651,138312.5073779348,13608000.0,136080.0,5161579201.0,59740.50001157408,FSRQ,22.5,5.415776172185914,36606.047882919265
273,4FGL J0746.4+2546,0.003639652902565104,187936.90798578755,161481600.0,1614816.0,4726425601.0,54704.00001157408,FSRQ,267.0,10.21626295083458,587736.9741508571
275,4FGL J0746.4+2546,0.0039719347516842625,205094.5944396918,162993600.0,1629936.0,4950201601.0,57294.00001157408,FSRQ,269.5,9.44503296634944,647399.944142124
276,4FGL J0746.4+2546,0.001697528368492372,87653.47722245014,40824000.0,408240.0,5114102401.0,59191.00001157408,FSRQ,67.5,11.488440678917051,69299.8981153326
320,4FGL J0433.0+0522,0.0016945612895671747,87662.31949404867,65923200.0,659232.0,4847083201.0,56100.50001157408,None,109.0,14.097842619216896,111710.90280439478
321,4FGL J0433.0+0522,0.003461063659799695,179046.26418799988,51710400.0,517104.0,4914518401.0,56881.00001157408,None,85.5,6.663804842476473,178972.98627370613
322,4FGL J0433.0+0522,0.006370159664128872,329538.3738215804,194443200.0,1944432.0,4968648001.0,57507.50001157408,None,321.5,6.543685892520881,1238634.2296041432
329,4FGL J0324.8+3412,0.011950436956132824,616354.3652056585,80136000.0,801360.0,4732473601.0,54774.00001157408,None,132.5,2.762485017652375,957660.21591666
330,4FGL J0324.8+3412,0.011233847993878077,579395.6551128661,46267200.0,462672.0,4821379201.0,55803.00001157408,None,76.5,2.5194675047767423,519758.69190235576
331,4FGL J0324.8+3412,0.009440889769895308,486922.2474843659,18144000.0,181440.0,4878532801.0,56464.50001157408,None,30.0,2.400945903390251,171295.50398498046
332,4FGL J0324.8+3412,0.001957035021323682,100935.8137012872,2419200.0,24192.0,4923892801.0,56989.50001157408,None,4.0,5.01149933658017,4734.459123586252
333,4FGL J0324.8+3412,0.002729660561195504,140784.65989138326,4838400.0,48384.0,4931755201.0,57080.50001157408,None,8.0,4.417792311886946,13207.189659288328
334,4FGL J0324.8+3412,0.0015134121151884874,78055.56959763316,3931200.0,39312.0,4938408001.0,57157.50001157408,None,6.5,6.276336154562008,5949.525707228981
335,4FGL J0324.8+3412,0.011932394876218232,615423.8289622085,134568000.0,1345680.0,4949596801.0,57287.00001157408,None,222.5,3.2539586015828945,1605718.513702935
