# E(keV) Aeff(cm2)
2.000000000000000000e+02 6.225084853753794079e+01
2.484848484848484986e+02 8.140932197037308526e+01
2.969696969696969973e+02 9.323546912468897574e+01
3.454545454545454390e+02 1.004797305482403544e+02
3.939393939393939377e+02 1.033560303892685255e+02
4.424242424242424363e+02 1.023395174530144089e+02
4.909090909090908781e+02 1.006399404784309866e+02
5.393939393939393767e+02 9.885688574789723759e+01
5.878787878787878753e+02 9.699035326141314783e+01
6.363636363636363740e+02 9.504034301897874570e+01
6.848484848484848726e+02 9.301797208402774686e+01
7.333333333333333712e+02 9.102170389660116712e+01
7.818181818181817562e+02 8.907469960583243562e+01
8.303030303030302548e+02 8.717695921172155238e+01
8.787878787878787534e+02 8.532848271426854581e+01
9.272727272727272521e+02 8.352927011347337327e+01
9.757575757575757507e+02 8.177932140933609162e+01
1.024242424242424249e+03 8.007863660185665822e+01
1.072727272727272748e+03 7.842840103030385990e+01
1.121212121212121247e+03 7.684028204365250758e+01
1.169696969696969745e+03 7.531725267157678161e+01
1.218181818181818016e+03 7.385931291407665356e+01
1.266666666666666742e+03 7.246646277115212342e+01
1.315151515151515241e+03 7.113870224280321963e+01
1.363636363636363512e+03 6.987603132902992797e+01
1.412121212121212011e+03 6.867845002983223424e+01
1.460606060606060510e+03 6.754595834521015263e+01
1.509090909090909008e+03 6.647855627516368315e+01
1.557575757575757507e+03 6.547624381969282581e+01
1.606060606060606005e+03 6.453902097879756639e+01
1.654545454545454504e+03 6.366688775247790488e+01
1.703030303030303003e+03 6.284853386296754252e+01
1.751515151515151501e+03 6.204795208516762273e+01
1.800000000000000000e+03 6.126246348015115473e+01
1.848484848484848499e+03 6.049206804791815983e+01
1.896969696969696997e+03 5.973676578846859542e+01
1.945454545454545496e+03 5.899655670180251121e+01
1.993939393939393995e+03 5.827144078791986459e+01
2.042424242424242493e+03 5.756141804682068397e+01
2.090909090909090992e+03 5.686648847850496225e+01
2.139393939393939490e+03 5.618665208297269231e+01
2.187878787878787989e+03 5.552190886022387417e+01
2.236363636363636033e+03 5.487225881025850782e+01
2.284848484848484986e+03 5.423770193307661458e+01
2.333333333333333485e+03 5.361823822867815892e+01
2.381818181818181984e+03 5.301386769706316926e+01
2.430303030303030482e+03 5.242459033823163850e+01
2.478787878787878981e+03 5.185040615218355242e+01
2.527272727272727025e+03 5.129131513891893235e+01
2.575757575757575523e+03 5.074731729843775696e+01
2.624242424242424022e+03 5.021841263074004047e+01
2.672727272727272521e+03 4.970391776853159627e+01
2.721212121212121019e+03 4.920006818633591195e+01
2.769696969696969518e+03 4.870628926983265927e+01
2.818181818181818016e+03 4.822258101902183114e+01
2.866666666666666515e+03 4.774894343390342755e+01
2.915151515151515014e+03 4.728537651447744850e+01
2.963636363636363512e+03 4.683188026074389398e+01
3.012121212121212011e+03 4.638845467270278533e+01
3.060606060606060510e+03 4.595509975035409411e+01
3.109090909090909008e+03 4.553181549369783454e+01
3.157575757575757507e+03 4.511860190273398530e+01
3.206060606060606005e+03 4.471545897746257481e+01
3.254545454545454504e+03 4.432238671788359596e+01
3.303030303030303003e+03 4.393938512399704166e+01
3.351515151515151501e+03 4.356645419580291190e+01
3.400000000000000000e+03 4.320359393330121378e+01
3.448484848484848499e+03 4.285080433649194731e+01
3.496969696969696997e+03 4.250808540537509828e+01
3.545454545454545496e+03 4.217543713995068799e+01
3.593939393939393995e+03 4.185285954021869514e+01
3.642424242424242493e+03 4.154035260617914105e+01
3.690909090909090992e+03 4.123791633783201149e+01
3.739393939393939490e+03 4.094555073517729937e+01
3.787878787878787989e+03 4.066325579821502600e+01
3.836363636363636488e+03 4.039103152694518428e+01
3.884848484848484986e+03 4.012887792136776000e+01
3.933333333333333485e+03 3.987679498148276025e+01
3.981818181818181984e+03 3.963478270729019215e+01
4.030303030303030482e+03 3.940284109879005570e+01
4.078787878787878981e+03 3.918097015598234378e+01
4.127272727272727025e+03 3.896916987886707062e+01
4.175757575757575978e+03 3.876744026744420779e+01
4.224242424242424022e+03 3.857422290207524895e+01
4.272727272727272066e+03 3.838274209857932107e+01
4.321212121212121019e+03 3.819221074972719521e+01
4.369696969696969973e+03 3.800262885551887138e+01
4.418181818181818016e+03 3.781399641595433536e+01
4.466666666666666970e+03 3.762631343103360848e+01
4.515151515151515014e+03 3.743957990075667652e+01
4.563636363636363967e+03 3.725379582512353949e+01
4.612121212121212011e+03 3.706896120413421869e+01
4.660606060606060964e+03 3.688507603778868571e+01
4.709090909090909008e+03 3.670214032608695476e+01
4.757575757575757962e+03 3.652015406902902583e+01
4.806060606060606005e+03 3.633911726661489183e+01
4.854545454545454049e+03 3.615902991884457407e+01
4.903030303030303003e+03 3.597989202571803702e+01
4.951515151515151047e+03 3.580170358723530200e+01
5.000000000000000000e+03 3.562446460339637611e+01
