0,1,2
0,0,0
0,0.0,0
4FGL J0253.9+5103,0.002285714285714286,FSRQ
4FGL J1840.6-5545,0.014012738853503185,BCU
4FGL J2146.5-1344,0.03125,BLL
4FGL J0909.1+0121,0.033256880733944956,FSRQ
4FGL J0131.1+6120,0.03876852907639681,BLL
4FGL J0733.6+3649,0.04633867276887872,BCU
4FGL J1340.4+6926,0.04909090909090909,BCU
4FGL J2237.6-5126,0.0741822429906542,None
4FGL J1732.7-5050,0.08256880733944955,None
4FGL J1135.1+3014,0.09942528735632183,BLL
4FGL J1933.2-4539,0.10069848661233993,FSRQ
4FGL J1514.7-3617,0.10232558139534884,BCU
4FGL J1312.6+4828,0.1493656286043829,BCU
4FGL J1617.3-5849,0.15997706422018348,FSRQ
4FGL J0152.2+3714,0.16647398843930636,BCU
4FGL J0103.5+5337,0.176056338028169,BLL
4FGL J0205.0-1700,0.188422247446084,FSRQ
4FGL J2052.2-5533,0.1890951276102088,BCU
4FGL J2143.5+1743,0.21235294117647058,FSRQ
4FGL J0011.4+0057,0.2202797202797203,FSRQ
4FGL J2130.4-4241,0.22133027522935778,BCU
4FGL J1311.0+3233,0.23441108545034642,FSRQ
4FGL J0904.6+5200,0.2356651376146789,None
4FGL J1127.4+5648,0.23741418764302058,FSRQ
4FGL J0841.3+7053,0.2551136363636364,FSRQ
4FGL J0136.5+3906,0.2599318955732123,BLL
4FGL J0221.1+3556,0.26136363636363635,FSRQ
4FGL J1315.9-0732,0.27708095781071834,BLL
4FGL J1310.5+3221,0.29909194097616343,FSRQ
4FGL J0137.9+5814,0.3021788990825688,BLL
4FGL J1224.9+2122,0.3164772727272727,FSRQ
4FGL J2253.9+1609,0.3229284903518729,FSRQ
4FGL J0904.9-5734,0.330672748004561,BCU
4FGL J1535.8-4730,0.3352272727272727,BCU
4FGL J1829.2-5813,0.33565621370499427,FSRQ
4FGL J0534.5+2201s,0.3388382687927107,None
4FGL J0242.3+5216,0.3430034129692832,BCU
4FGL J1023.1+3949,0.359375,FSRQ
4FGL J0943.7+6137,0.3673120728929385,BCU
4FGL J0723.5+2900,0.3686926605504587,FSRQ
4FGL J0035.8+6131,0.37615207373271886,BCU
4FGL J1754.2+3212,0.3857901726427623,BLL
4FGL J0555.6+3947,0.3877434135166094,FSRQ
4FGL J0512.8+4041,0.3922811059907834,BCU
4FGL J0505.3+0459,0.40753424657534243,FSRQ
4FGL J1019.7+6321,0.4149425287356322,BLL
4FGL J1256.1-0547,0.416572077185017,FSRQ
4FGL J0850.0+5108,0.4188571428571428,None
4FGL J1153.4+4931,0.4204805491990846,FSRQ
4FGL J0114.0+6418,0.4213547646383467,BCU
4FGL J1834.7-5858,0.4454123112659698,BLL
4FGL J0205.7+6449,0.45062429057888764,None
4FGL J0453.3+2843,0.4843568945538818,None
4FGL J1159.5+2914,0.4971590909090909,FSRQ
4FGL J1508.5-4951,0.4977116704805492,BCU
4FGL J1117.0+2013,0.507981755986317,BLL
4FGL J1808.1-5013,0.517816091954023,FSRQ
4FGL J1443.9+2501,0.5794285714285714,FSRQ
4FGL J0237.8+2848,0.5898748577929465,FSRQ
4FGL J0108.6+0134,0.6030751708428246,FSRQ
4FGL J1504.4+1029,0.6868064118372379,FSRQ
4FGL J1801.5+4404,0.6914285714285714,FSRQ
4FGL J1408.9-0751,0.7179341657207718,FSRQ
4FGL J1522.1+3144,0.7918518518518517,FSRQ
4FGL J2248.7-3235,0.820855614973262,FSRQ
