Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr
4FGL J0221.1+3556,3326400.0,14164.54953877131,0.2727272727272727,0.9166666666666666,16632000.0,411.8986433239605,FSRQ,1076.5269771745925,0.00032363124614435805,56202.00001157408,0.0002848504075289683,0.0004478672070184382,56200.0,56250.0,1.24e-06,1.24e-06,3.749038209994665e-08
4FGL J0319.8+4130,604800.0,10332.94226386703,0.0,0.010101010101010102,3024000.0,241.0702680276016,FSRQ,763.675819976891,0.0012626915012845421,57906.50001157408,0.0006144555546465938,0.0012626915012845421,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09
4FGL J0319.8+4130,3024000.0,35743.71387916883,0.0,0.050505050505050504,15120000.0,155.74890025661307,FSRQ,2641.7073964640617,0.0008735804882486977,57948.50001157408,0.0006144555546465938,0.0009444932429608375,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09
4FGL J0319.8+4130,1209600.0,13887.474402637288,0.0,0.020202020202020204,6048000.0,253.5226123104717,FSRQ,1026.3803020489415,0.0008485286888632122,57997.50001157408,0.0006144555546465938,0.0008939855829094558,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09
4FGL J0319.8+4130,5140800.0,79210.95766916947,0.0,0.08585858585858586,25704000.0,91.66832049600977,FSRQ,5854.2370125001835,0.001138779375291819,58211.00001157408,0.0006144555546465938,0.0017677681017983589,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09
4FGL J0403.9-3605,4233600.0,143315.91106740647,0.42857142857142855,0.16666666666666666,21168000.0,46.06242118265985,FSRQ,10602.909160129282,0.002504466449388058,59978.50001157408,0.0009132149701623414,0.0031456537022948477,59900.0,60200.0,1e-06,4.2368750000000004e-07,8.290676498598151e-09
4FGL J0403.9-3605,604800.0,14216.603869560377,0.0,0.023809523809523808,3024000.0,175.32729863520748,FSRQ,1051.7838408297464,0.0017390605833825172,60041.50001157408,0.0009132149701623414,0.0017390605833825172,59900.0,60200.0,1e-06,4.2368750000000004e-07,8.290676498598151e-09
4FGL J0442.6-0017,604800.0,894.1932499933729,0.0,0.07692307692307693,3024000.0,2781.376265833662,FSRQ,69.0899958812963,0.00011423610430108517,56457.50001157408,7.031515312118544e-05,0.00011423610430108517,56450.0,56550.0,6e-07,3.5899999999999997e-07,1.8142805873366933e-08
4FGL J0442.6-0017,1209600.0,2520.6212786802985,0.0,0.15384615384615385,6048000.0,1395.4838411850565,FSRQ,194.7562383898786,0.00016100879496517743,56492.50001157408,7.031515312118544e-05,0.00017485118005268135,56450.0,56550.0,6e-07,3.5899999999999997e-07,1.8142805873366933e-08
4FGL J0442.6-0017,4233600.0,6999.571396950674,-0.5714285714285714,0.1,21168000.0,940.1048534144489,FSRQ,540.823092759586,0.00012774543952182209,60384.50001157408,5.362284991594784e-05,0.00020107885706058357,60300.0,60800.0,6e-07,2.2869130434782607e-07,7.964608791999585e-09
4FGL J0442.6-0017,1209600.0,2008.5131546407263,-0.5,0.02857142857142857,6048000.0,1751.2145216268132,FSRQ,155.18811574867703,0.00012829705336365495,60447.50001157408,5.362284991594784e-05,0.00014862350304477916,60300.0,60800.0,6e-07,2.2869130434782607e-07,7.964608791999585e-09
4FGL J0442.6-0017,1814400.0,2752.153459482154,0.0,0.04285714285714286,9072000.0,1565.2394215301435,FSRQ,212.64561232342857,0.00011719886040753337,60734.50001157408,5.362284991594784e-05,0.00012108444218648184,60300.0,60800.0,6e-07,2.2869130434782607e-07,7.964608791999585e-09
4FGL J0538.8-4405,4233600.0,17127.00777161352,0.0,0.0546875,21168000.0,384.29972940935187,FSRQ,1272.1830010980202,0.0003004967406221703,55267.50001157408,0.00013903326793222967,0.0003297194619582423,55200.0,56100.0,7e-07,2.017830188679245e-07,5.474503190718331e-09
