Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr,ThresholdPercent
4FGL J0221.1+3556,3326400.0,11153.188613205757,0.2727272727272727,0.9166666666666666,8316000.0,369.98598028615044,FSRQ,1076.5269771745925,0.00032363124614435805,56202.00001157408,0.0002848504075289683,0.0004478672070184382,56200.0,56250.0,1.24e-06,1.24e-06,3.749038209994665e-08,0.3
4FGL J0319.8+4130,604800.0,863.4591858472006,0.0,0.010101010101010102,1512000.0,2037.0143574777135,FSRQ,82.9925701396334,0.00013722316491341502,57906.50001157408,6.677603818625278e-05,0.00013722316491341502,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09,0.3
4FGL J0319.8+4130,3024000.0,2986.8780156826365,0.0,0.050505050505050504,7560000.0,1316.634481086401,FSRQ,287.08789862701985,9.493647441369705e-05,57948.50001157408,6.677603818625278e-05,0.00010264292735523443,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09,0.3
4FGL J0319.8+4130,1209600.0,1160.4891457786375,0.0,0.020202020202020204,3024000.0,2143.231898683396,FSRQ,111.54201426766728,9.221396682181489e-05,57997.50001157408,6.677603818625278e-05,9.715400075869782e-05,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09,0.3
4FGL J0319.8+4130,5140800.0,6619.162990813194,0.0,0.08585858585858586,12852000.0,774.6938871218213,FSRQ,636.209977014411,0.0001237569983299119,58211.00001157408,6.677603818625278e-05,0.000192112430878781,57700.0,58400.0,8e-07,4.7111864406779663e-07,8.842076490659118e-09,0.3
4FGL J0403.9-3605,4233600.0,29012.602075579223,0.42857142857142855,0.16666666666666666,10584000.0,160.5715856150367,FSRQ,2820.4955581551512,0.0006662168268507066,59978.50001157408,0.0002429256657851313,0.0008367799969634696,59900.0,60200.0,1e-06,4.2368750000000004e-07,8.290676498598151e-09,0.3
4FGL J0403.9-3605,604800.0,2877.982408664314,0.0,0.023809523809523808,1512000.0,611.5567009418704,FSRQ,279.78657615543443,0.0004626100796220807,60041.50001157408,0.0002429256657851313,0.0004626100796220807,59900.0,60200.0,1e-06,4.2368750000000004e-07,8.290676498598151e-09,0.3
4FGL J0442.6-0017,604800.0,704.0891732231282,0.0,0.07692307692307693,1512000.0,2497.9593211735564,FSRQ,69.0899958812963,0.00011423610430108517,56457.50001157408,7.031515312118544e-05,0.00011423610430108517,56450.0,56550.0,6e-07,3.5899999999999997e-07,1.8142805873366933e-08,0.3
4FGL J0442.6-0017,1209600.0,1984.7411643151956,0.0,0.15384615384615385,3024000.0,1253.3302653034675,FSRQ,194.7562383898786,0.00016100879496517743,56492.50001157408,7.031515312118544e-05,0.00017485118005268135,56450.0,56550.0,6e-07,3.5899999999999997e-07,1.8142805873366933e-08,0.3
4FGL J0442.6-0017,4233600.0,5511.473540906042,-0.5714285714285714,0.1,10584000.0,844.3184377622765,FSRQ,540.823092759586,0.00012774543952182209,60384.50001157408,5.362284991594784e-05,0.00020107885706058357,60300.0,60800.0,6e-07,2.2869130434782607e-07,7.964608791999585e-09,0.3
4FGL J0442.6-0017,1209600.0,1581.5064209769498,-0.5,0.02857142857142857,3024000.0,1572.785535526162,FSRQ,155.18811574867703,0.00012829705336365495,60447.50001157408,5.362284991594784e-05,0.00014862350304477916,60300.0,60800.0,6e-07,2.2869130434782607e-07,7.964608791999585e-09,0.3
4FGL J0442.6-0017,1814400.0,2167.0499680961843,0.0,0.04285714285714286,4536000.0,1405.747601320756,FSRQ,212.64561232342857,0.00011719886040753337,60734.50001157408,5.362284991594784e-05,0.00012108444218648184,60300.0,60800.0,6e-07,2.2869130434782607e-07,7.964608791999585e-09,0.3
4FGL J0538.8-4405,4233600.0,14694.470952478792,0.0,0.0546875,10584000.0,316.8168482430616,FSRQ,1379.7878307338135,0.0003259136032534518,55267.50001157408,0.00015079309422816559,0.00035760806485656736,55200.0,56100.0,7e-07,2.017830188679245e-07,5.474503190718331e-09,0.3
4FGL J0539.9-2839,1814400.0,29227.58568961693,0.3333333333333333,0.04477611940298507,4536000.0,104.53802995188144,FSRQ,2777.6763458061196,0.0015309062752458772,59194.50001157408,0.0006097443937043497,0.0019210541348653248,59100.0,59600.0,2e-07,1.1320256410256407e-07,5.89891356522538e-09,0.3
4FGL J0539.9-2839,9676800.0,107882.9859595971,-0.6875,0.23880597014925373,24192000.0,65.34090876390792,FSRQ,10252.780417691562,0.0010595217858890916,59299.50001157408,0.0006097443937043497,0.0018192764323559036,59100.0,59600.0,2e-07,1.1320256410256407e-07,5.89891356522538e-09,0.3
4FGL J0841.3+7053,1209600.0,18922.55923693362,-0.5,0.014084507042253521,3024000.0,131.8261637593359,FSRQ,1804.3725946230363,0.001491710147671161,57227.50001157408,0.00033540383721497905,0.002291752748851575,57000.0,58000.0,4e-07,1.932245454545455e-07,3.535611496865128e-09,0.3
4FGL J0841.3+7053,6652800.0,83150.68140394338,0.0,0.07746478873239436,16632000.0,70.31133968881133,FSRQ,7928.885774428667,0.0011918118347806438,57297.50001157408,0.00033540383721497905,0.0035894922572374073,57000.0,58000.0,4e-07,1.932245454545455e-07,3.535611496865128e-09,0.3
4FGL J0841.3+7053,1209600.0,8677.5826949566,0.0,0.014084507042253521,3024000.0,286.9791843435279,FSRQ,827.4563818933034,0.0006840743897927442,57451.50001157408,0.00033540383721497905,0.0007054732859416595,57000.0,58000.0,4e-07,1.932245454545455e-07,3.535611496865128e-09,0.3
4FGL J0904.9-5734,2419200.0,4715.561055135402,0.0,0.0975609756097561,6048000.0,746.0669435085643,FSRQ,467.7568959145588,0.0001933518914990736,58928.50001157408,4.122791244129078e-05,0.00025356678227959163,58800.0,59100.0,2e-06,4.1530000000000007e-07,8.964204442425995e-09,0.3
4FGL J1129.8-1447,604800.0,5784.650332137497,0.0,0.0070921985815602835,1512000.0,304.55378663141954,FSRQ,544.6380181929225,0.000900525823731684,59656.50001157408,0.0005771518056044648,0.000900525823731684,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09,0.3
4FGL J1129.8-1447,3024000.0,45566.24004644619,-0.4,0.03546099290780142,7560000.0,86.54831564749821,FSRQ,4290.165394704026,0.0014187054876666752,59698.50001157408,0.0005771518056044648,0.0019285003673955988,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09,0.3
4FGL J1129.8-1447,1209600.0,15091.797235241398,0.0,0.014184397163120567,3024000.0,165.1836221140465,FSRQ,1420.9271200899152,0.0011747082672701019,59747.50001157408,0.0005771518056044648,0.001274487199322309,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09,0.3
