,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s),Asymmetry
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0,0
1,4FGL J0001.5+2113,FSRQ,1.4892417772314265e-07,0.40531204209130506,1.0535024819578265,34020.0,2721600.0,4.5,0.005136986301369863,250365.42494699132,56765.50001157408,4904539201.0,0.0
2,4FGL J0001.5+2113,FSRQ,7.635921214466869e-08,0.09236410301019125,0.5401716547618154,15120.0,1209600.0,2.0,0.00228310502283105,325527.66240568826,56814.50001157408,4908772801.0,0.0
3,4FGL J0001.5+2113,FSRQ,1.3611859556223547e-07,1.3171924255366403,0.9629146889232363,120960.0,9676800.0,16.0,0.0182648401826484,516500.6155020934,56870.50001157408,4913611201.0,0.0
4,4FGL J0001.5+2113,FSRQ,7.873061624854039e-08,0.26188952188914477,0.5569471719904433,41580.0,3326400.0,5.5,0.006278538812785388,523560.8757500998,57280.00001157408,4948992001.0,0.0
5,4FGL J0001.5+2113,FSRQ,6.782215737073059e-07,2.4611304466690718,4.7977979273875535,45360.0,3628800.0,6.0,0.00684931506849315,63482.434712650014,57416.50001157408,4960785601.0,-0.8333333333333334
6,4FGL J0001.5+2113,FSRQ,7.398780804079698e-07,5.817217419399622,5.233961375331876,98280.0,7862400.0,13.0,0.014840182648401826,85654.39699024566,57465.50001157408,4965019201.0,0.8461538461538461
7,4FGL J0001.5+2113,FSRQ,9.011335594712454e-08,0.13625139419205232,0.6374696546878568,18900.0,1512000.0,2.5,0.0028538812785388126,308400.26851499826,57570.50001157408,4974091201.0,0.0
8,4FGL J0001.5+2113,FSRQ,8.094076487334881e-07,6.11912182442517,5.725819540475243,94500.0,7560000.0,12.5,0.014269406392694063,76776.34654854833,57644.00001157408,4980441601.0,0.0
9,4FGL J0001.5+2113,FSRQ,5.94748149251022e-07,2.5179257646691267,4.207299720939855,52920.0,4233600.0,7.0,0.007990867579908675,78191.54002340097,57801.50001157408,4994049601.0,0.0
10,4FGL J0001.5+2113,FSRQ,3.326605676911219e-06,54.32214006168944,23.53269556831909,204120.0,16329600.0,27.0,0.030821917808219176,27455.67806744147,57990.50001157408,5010379201.0,0.48148148148148145
11,4FGL J0001.5+2113,FSRQ,4.1167575243212687e-07,0.9959259802838013,2.9122297908897874,30240.0,2419200.0,4.0,0.0045662100456621,85392.98632841476,58312.50001157408,5038200001.0,0.75
12,4FGL J0001.5+2113,FSRQ,1.3943856130765587e-07,0.29516354657604593,0.9864004130433152,26460.0,2116800.0,3.5,0.003995433789954338,235822.80827161286,58473.50001157408,5052110401.0,0.0
13,4FGL J0001.5+2113,FSRQ,2.717629103036967e-07,0.6574488326067031,1.922474274400747,30240.0,2419200.0,4.0,0.0045662100456621,129354.0999084767,60706.50001157408,5245041601.0,0.0
14,4FGL J0004.4-4737,FSRQ,3.763954774658848e-07,7.512251497455115,2.895844294734682,249480.0,19958400.0,33.0,0.0375,246650.0562833335,59537.50001157408,5144040001.0,0.6666666666666666
15,4FGL J0010.6+2043,FSRQ,4.434027431337269e-05,4062.775182566262,364.72103509804106,1145340.0,91627200.0,151.5,0.19104665825977302,4196.735291896322,56594.00001157408,4889721601.0,0.0
16,4FGL J0010.6+2043,FSRQ,3.08917330669482e-05,3830.0806325725057,254.10002609640446,1549800.0,123984000.0,205.0,0.25851197982345525,7006.558556232811,58036.00001157408,5014310401.0,0.0
17,4FGL J0010.6+2043,FSRQ,2.3676373776285884e-05,157.51417945887474,194.7500705572038,83160.0,6652800.0,11.0,0.013871374527112233,2119.9401035167884,59873.50001157408,5173070401.0,-0.9090909090909091
18,4FGL J0010.6-3025,FSRQ,5.676244236180356e-08,2.797888898944132,0.3862319993190689,616140.0,49291200.0,81.5,0.0930365296803653,2906214.220318214,55477.50001157408,4793256001.0,0.0
19,4FGL J0010.6-3025,FSRQ,1.0224984099604179e-07,3.0611148398031007,0.6957445605711479,374220.0,29937600.0,49.5,0.05650684931506849,1257332.4341379516,56247.50001157408,4859784001.0,0.9494949494949495
20,4FGL J0010.6-3025,FSRQ,4.1385104946693767e-07,56.81744504089608,2.815990848967962,1716120.0,137289600.0,227.0,0.2591324200913242,665240.9590208015,58288.00001157408,5036083201.0,-0.9911894273127754
21,4FGL J0017.5-0514,FSRQ,5.411341080998605e-07,7.363752943022901,3.953944246399151,170100.0,13608000.0,22.5,0.025597269624573378,149163.54652055365,54683.00001157408,4724611201.0,0.8
22,4FGL J0017.5-0514,FSRQ,7.587003554011135e-07,19.042771960283627,5.543651490594329,313740.0,25099200.0,41.5,0.047212741751990896,144487.04213424082,56097.00001157408,4846780801.0,0.0
23,4FGL J0017.5-0514,FSRQ,3.676808733856573e-08,0.08894935688945822,0.2686560784237156,30240.0,2419200.0,4.0,0.004550625711035267,925618.8471090698,56429.50001157408,4875508801.0,-0.5
24,4FGL J0017.5-0514,FSRQ,1.7679973911735859e-07,2.940533260999908,1.2918356111438238,207900.0,16632000.0,27.5,0.03128555176336746,504727.9780115801,56660.50001157408,4895467201.0,0.0
25,4FGL J0017.5-0514,FSRQ,1.715887536895879e-06,166.04300517034042,12.53760122014978,1209600.0,96768000.0,160.0,0.1820250284414107,125442.50703621256,58550.50001157408,5058763201.0,0.95
26,4FGL J0017.5-0514,FSRQ,1.6928096948429494e-07,0.5119056517205078,1.2368976660288085,37800.0,3024000.0,5.0,0.005688282138794084,224778.76087068112,59747.50001157408,5162184001.0,0.0
27,4FGL J0017.5-0514,FSRQ,4.663375616345276e-07,2.9614300514039043,3.4074228386364873,79380.0,6350400.0,10.5,0.011945392491467578,118242.84639550801,59908.50001157408,5176094401.0,-0.6190476190476191
28,4FGL J0019.6+7327,FSRQ,6.796724919968148e-06,686.4800916766549,50.58597503193652,1262520.0,101001600.0,167.0,0.1928406466512702,31763.894568245712,56275.50001157408,4862203201.0,0.9940119760479041
29,4FGL J0024.7+0349,FSRQ,1.2429763231545826e-05,1830.5163153938759,101.08238686807375,1840860.0,147268800.0,243.5,0.2808535178777393,19194.767362357667,55085.50001157408,4759387201.0,0.0
