,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
0,4FGL J0116.0-1136,6.833478368949471e-05,4.6011824415462625e-05,57224.00001157408
1,4FGL J0200.6-6637,0.0007068274978029105,0.0006864015788576981,55778.50001157408
2,4FGL J0200.6-6637,0.0007911948650743349,0.0006864015788576981,58064.00001157408
3,4FGL J0342.2+3858,0.00017239993871741364,0.00015530358087438153,54966.50001157408
4,4FGL J0342.2+3858,0.00016554504994695075,0.00015530358087438153,59723.00001157408
5,4FGL J0347.7-3616,0.00011001975264301579,9.514897886047592e-05,58599.50001157408
6,4FGL J0427.3-3900,0.0026549734950148712,0.0025500262305800446,54697.00001157408
7,4FGL J0427.3-3900,0.0031527309118617587,0.0025500262305800446,55978.00001157408
8,4FGL J0450.3-4419,0.0003014461861334562,0.0002471589011566239,58319.50001157408
9,4FGL J0450.3-4419,0.0003123040695552703,0.0002471589011566239,60188.50001157408
10,4FGL J0534.5+2201s,0.0005044875707904376,0.0001088690235985093,58389.50001157408
11,4FGL J0534.5+2201s,0.0002676911208210361,0.0001088690235985093,59999.50001157408
12,4FGL J0617.6-4028,0.00147659826915743,0.0014132869543577924,57409.50001157408
13,4FGL J0943.7+6137,0.0003787756991168106,0.00030790336149722755,57990.50001157408
14,4FGL J1043.2+2408,0.00011173109504319393,0.00010156172449711445,55218.50001157408
15,4FGL J1043.2+2408,0.00012976892656948587,0.00010156172449711445,57868.00001157408
16,4FGL J1200.7+2008,5.707632607063839e-05,5.190863853878487e-05,58984.50001157408
17,4FGL J1659.7-3131,5.5309587746140706e-05,3.947553129197999e-05,54683.00001157408
18,4FGL J1747.6-5308,0.00036902383396048683,0.0003213539192557961,59138.50001157408
19,4FGL J1824.5+0107,9.248968559783653e-05,7.77057021882318e-05,54833.50001157408
20,4FGL J1824.5+0107,8.236568165551176e-05,7.77057021882318e-05,56996.50001157408
21,4FGL J1912.1-0803,5.102856745058497e-05,4.311977154975683e-05,57738.50001157408
22,4FGL J2040.5-1705,0.000433511639666403,0.00033954834633264665,58263.50001157408
23,4FGL J2120.6-1254,0.00032623031280092747,0.00022112436764800962,58837.50001157408
24,4FGL J2143.5+1743,0.00014518040879831236,0.00012002523113026685,54805.50001157408
25,4FGL J2143.5+1743,0.00013962155960605733,0.00012002523113026685,55323.50001157408
26,4FGL J2143.5+1743,0.00012626877196067674,0.00012002523113026685,55708.50001157408
27,4FGL J2143.5+1743,0.0001746387873514031,0.00012002523113026685,56380.50001157408
28,4FGL J2143.5+1743,0.0001294544064499282,0.00012002523113026685,56891.50001157408
29,4FGL J2143.5+1743,0.0001579114253397253,0.00012002523113026685,57129.50001157408
30,4FGL J2149.7+1917,0.00033167685283686427,0.0003052589814451268,54959.50001157408
31,4FGL J2207.6+0053,0.0005837564426643199,0.0004834745464783586,56814.50001157408
32,4FGL J2211.2-1325,0.00013125476026691372,0.0001098598699251208,58487.50001157408
33,4FGL J2211.2-1325,0.0001597717914966647,0.0001098598699251208,58841.00001157408
34,4FGL J2211.2-1325,0.00012943902089496243,0.0001098598699251208,60391.50001157408
35,4FGL J2358.0-4601,0.00014661408940754567,0.00013205032091151916,54998.00001157408
36,4FGL J0538.8-4405,8.241033002293084e-05,5.8167258757536835e-05,54683.00001157408
37,4FGL J0538.8-4405,8.241435368415819e-05,5.8167258757536835e-05,59369.50001157408
38,4FGL J0538.8-4405,9.197145669179536e-05,5.8167258757536835e-05,60237.50001157408
39,4FGL J1800.6+7828,8.806534072310666e-05,3.8983293607771304e-05,58970.50001157408
40,4FGL J2253.9+1609,0.0009451476869562311,0.0004308611577859789,54683.00001157408
41,4FGL J2253.9+1609,0.0005540845861717488,0.0004308611577859789,54777.50001157408
42,4FGL J2253.9+1609,0.001494973937700801,0.0004308611577859789,55050.50001157408
43,4FGL J2253.9+1609,0.0006049699053099704,0.0004308611577859789,56548.50001157408
