,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
0,4FGL J0034.0-4116,2.9018017421053e-05,2.4352912643518284e-05,59051.00001157408
1,4FGL J0035.8+6131,5.701224790225092e-05,1.537040533829541e-05,59397.50001157408
2,4FGL J0045.1-3706,5.883613342943463e-05,4.550776076055987e-05,54795.00001157408
3,4FGL J0045.1-3706,4.527272819503815e-05,4.550776076055987e-05,57269.50001157408
4,4FGL J0050.0-5736,2.212758404247176e-05,2.092409305439193e-05,57164.50001157408
5,4FGL J0102.8+5824,0.0004626944681047,6.1348163410303365e-06,60223.50001157408
6,4FGL J0137.9+5814,3.224562915540417e-05,1.6042260432139365e-05,58872.50001157408
7,4FGL J0137.9+5814,0.0007301115829011,1.6042260432139365e-05,59691.50001157408
8,4FGL J0152.2+3714,0.0006016911937672,8.306484116716636e-05,58246.00001157408
9,4FGL J0156.5+3914,0.0002223306884762,0.0002068310047825,54711.00001157408
10,4FGL J0156.5+3914,0.0002214418736165,0.0002068310047825,57371.00001157408
11,4FGL J0205.2+3212,2.3660105522143236e-05,1.818519830939305e-05,57763.00001157408
12,4FGL J0221.1+3556,0.000117992703448,2.0239112662833168e-05,56023.50001157408
13,4FGL J0236.8-6136,9.501809763795442e-05,2.07699776694504e-05,55330.50001157408
14,4FGL J0236.8-6136,4.932074180965481e-05,2.07699776694504e-05,60692.50001157408
15,4FGL J0342.2+3858,0.0005529130672427,0.0001926642540178,59723.00001157408
16,4FGL J0342.2+3858,0.0003624423947601,0.0001926642540178,59968.00001157408
17,4FGL J0353.0+5654,0.0006624518872392,1.815207272751499e-05,59366.00001157408
18,4FGL J0353.0+5654,0.0001617777240415,1.815207272751499e-05,59898.00001157408
19,4FGL J0359.6+5057,0.0003856074445243,5.400824447748629e-06,58631.00001157408
20,4FGL J0401.7+2112,3.698253420113336e-05,2.9298661625502333e-05,54952.50001157408
21,4FGL J0401.7+2112,4.027382075635125e-05,2.9298661625502333e-05,58183.00001157408
22,4FGL J0401.7+2112,3.979562443785268e-05,2.9298661625502333e-05,60062.50001157408
23,4FGL J0407.5+0741,4.464151601139202e-05,3.6447931315949305e-05,56541.50001157408
24,4FGL J0407.5+0741,0.0001075215683225,3.6447931315949305e-05,57035.00001157408
25,4FGL J0407.5+0741,4.331306420200156e-05,3.6447931315949305e-05,59075.50001157408
26,4FGL J0407.5+0741,4.676836254499497e-05,3.6447931315949305e-05,59467.50001157408
27,4FGL J0407.5+0741,4.340301145992906e-05,3.6447931315949305e-05,60045.00001157408
28,4FGL J0442.6-0017,6.541437637075053e-05,2.18221638231646e-05,56426.00001157408
29,4FGL J0442.6-0017,7.549700574550711e-05,2.18221638231646e-05,60269.00001157408
30,4FGL J0442.6-0017,4.588192104126833e-05,2.18221638231646e-05,60608.50001157408
31,4FGL J0453.3+2843,7.572937743634732e-05,3.569189692296101e-05,58666.00001157408
32,4FGL J0455.7-4617,5.286005519423608e-05,4.160811464981149e-05,54980.50001157408
33,4FGL J0455.7-4617,5.7123828449617326e-05,4.160811464981149e-05,55435.50001157408
34,4FGL J0455.7-4617,5.9036647749452914e-05,4.160811464981149e-05,56139.00001157408
35,4FGL J0455.7-4617,4.8507385052189015e-05,4.160811464981149e-05,56762.00001157408
36,4FGL J0455.7-4617,4.181376843821701e-05,4.160811464981149e-05,57325.50001157408
37,4FGL J0455.7-4617,5.243810222987763e-05,4.160811464981149e-05,58508.50001157408
38,4FGL J0512.8+4041,5.462692527289607e-05,1.8838015645675644e-05,58809.50001157408
39,4FGL J0533.3+4823,5.3509069364462727e-05,9.30787691929109e-06,58253.00001157408
40,4FGL J0533.3+4823,0.0006439674064099,9.30787691929109e-06,58988.00001157408
41,4FGL J0533.3+4823,3.201153115327174e-05,9.30787691929109e-06,59723.00001157408
42,4FGL J0534.5+2201s,0.0001635776508263,0.0001163493007527,54833.50001157408
43,4FGL J0534.5+2201s,0.00016658623676,0.0001163493007527,54973.50001157408
44,4FGL J0534.5+2201s,0.0001464452750076,0.0001163493007527,56149.50001157408
45,4FGL J0534.5+2201s,0.0002154018697365,0.0001163493007527,56261.50001157408
46,4FGL J0534.5+2201s,0.0001289182861724,0.0001163493007527,56590.50001157408
47,4FGL J0534.5+2201s,0.0002544036014936,0.0001163493007527,56874.00001157408
48,4FGL J0534.5+2201s,0.0002228150731121,0.0001163493007527,57633.50001157408
49,4FGL J0534.5+2201s,0.0001770935526215,0.0001163493007527,58179.50001157408
50,4FGL J0534.5+2201s,0.0005044875707904,0.0001163493007527,58389.50001157408
51,4FGL J0534.5+2201s,0.0001371369547998,0.0001163493007527,58487.50001157408
52,4FGL J0534.5+2201s,0.0001463425250415,0.0001163493007527,58718.50001157408
53,4FGL J0534.5+2201s,0.000129257685845,0.0001163493007527,58823.50001157408
54,4FGL J0534.5+2201s,0.0001617270294535,0.0001163493007527,59124.50001157408
55,4FGL J0534.5+2201s,0.0001597144655943,0.0001163493007527,59243.50001157408
