,Name,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Average Flux of Entire Source (0.2-5 MeV),Start Time (MJD)
0,4FGL J0010.6+2043,0.0002131042704828,0.0001709252082464,56594.00001157408
1,4FGL J0010.6+2043,0.0002699274915785,0.0001709252082464,58036.00001157408
2,4FGL J0222.0-1616,0.0001616001398335,0.0001290412495101,58403.50001157408
3,4FGL J0228.0-3026,0.0004310690351121,0.00033921992839,56944.00001157408
4,4FGL J0228.0-3026,0.0004213879255919,0.00033921992839,58883.00001157408
5,4FGL J0312.8+0134,0.0001515044162029,0.0001177189534737,58200.50001157408
6,4FGL J0358.9+6004,0.0004847260742515,2.4785443156839903e-05,59107.00001157408
7,4FGL J0358.9+6004,0.0004466585815092,2.4785443156839903e-05,59352.00001157408
8,4FGL J0824.7+5552,0.0004617911455966,0.0003584304693465,54690.00001157408
9,4FGL J0824.7+5552,0.0004339996675543,0.0003584304693465,57479.50001157408
10,4FGL J0824.7+5552,0.000536305232815,0.0003584304693465,58274.00001157408
11,4FGL J0824.7+5552,0.0003652788366607,0.0003584304693465,59135.00001157408
12,4FGL J1031.6+6019,0.0018784224841929,7.361000229717936e-05,59621.50001157408
13,4FGL J1031.6+6019,0.0027965751782604,7.361000229717936e-05,60696.00001157408
14,4FGL J1209.8+1810,0.0001073738329274,0.0001017497683141,55047.00001157408
15,4FGL J1446.7+1719,0.0001082868155241,0.0001060332949968,57031.50001157408
16,4FGL J1635.6+3628,0.0022970279594938,0.0019127445141738,55127.50001157408
17,4FGL J1635.6+3628,0.0036122012232538,0.0019127445141738,58172.50001157408
18,4FGL J1635.6+3628,0.0023607715104269,0.0019127445141738,58536.50001157408
19,4FGL J1647.5+4950,0.0001348486543835,0.0001280067520334,55120.50001157408
20,4FGL J1647.5+4950,0.0001665705894726,0.0001280067520334,57542.50001157408
21,4FGL J1716.1+6836,0.0002122896488321,0.0001863094139776,59754.50001157408
22,4FGL J1724.9+7654,0.0002702768947443,0.0002452081767173,57829.50001157408
23,4FGL J1724.9+7654,0.0002986899759352,0.0002452081767173,59058.00001157408
24,4FGL J1808.1-5013,0.0011602765625542,0.0010976552236073,55544.00001157408
25,4FGL J1808.1-5013,0.0014172717401258,0.0010976552236073,58463.00001157408
26,4FGL J1808.1-5013,0.0015918179122163,0.0010976552236073,59415.00001157408
27,4FGL J1808.1-5013,0.001292207838716,0.0010976552236073,60433.50001157408
28,4FGL J2256.0-2740,0.0003343243747087,0.0002839782359279,59086.00001157408
29,4FGL J2256.0-2740,0.0003584481732278,0.0002839782359279,60073.00001157408
30,4FGL J1222.5+0414,0.0003987553358396,0.0003087283345034,55201.00001157408
31,4FGL J1222.5+0414,0.000337767937735,0.0003087283345034,55393.50001157408
32,4FGL J1222.5+0414,0.0004457055608659,0.0003087283345034,56065.50001157408
33,4FGL J1222.5+0414,0.000369890594755,0.0003087283345034,56142.50001157408
34,4FGL J1222.5+0414,0.0003621813249288,0.0003087283345034,56587.00001157408
35,4FGL J0405.6-1308,9.84017278520715e-05,9.48278272926086e-05,55890.50001157408
36,4FGL J0336.4+3224,0.0003819493622072,0.0003577346416158,54840.50001157408
37,4FGL J0336.4+3224,0.0004078108146087,0.0003577346416158,55134.50001157408
38,4FGL J0336.4+3224,0.0003757959558531,0.0003577346416158,55547.50001157408
39,4FGL J0336.4+3224,0.0003783324329527,0.0003577346416158,55708.50001157408
40,4FGL J0336.4+3224,0.0004210007676803,0.0003577346416158,55978.00001157408
41,4FGL J0336.4+3224,0.0004823660956201,0.0003577346416158,56940.50001157408
42,4FGL J0336.4+3224,0.0003930100288826,0.0003577346416158,57084.00001157408
43,4FGL J0336.4+3224,0.0004707832130712,0.0003577346416158,57595.00001157408
44,4FGL J0336.4+3224,0.0004234991431925,0.0003577346416158,58970.50001157408
45,4FGL J0336.4+3224,0.000369332974102,0.0003577346416158,59397.50001157408
