,Name,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Average Flux of Entire Source (0.2-5 MeV),Start Time (MJD)
0,4FGL J0010.6+2043,0.00021310427048285433,0.00017092520824645493,56594.00001157408
1,4FGL J0010.6+2043,0.00026992749157858366,0.00017092520824645493,58036.00001157408
2,4FGL J0156.5+3914,0.00019626483228468077,0.00020346444132791458,54711.00001157408
3,4FGL J0156.5+3914,0.00022144187361657885,0.00020346444132791458,57371.00001157408
4,4FGL J0222.0-1616,0.00016160013983350006,0.0001290412495101254,58403.50001157408
5,4FGL J0228.0-3026,0.00043106903511211804,0.0003392199283900802,56944.00001157408
6,4FGL J0228.0-3026,0.00042138792559194256,0.0003392199283900802,58883.00001157408
7,4FGL J0312.8+0134,0.00015150441620291925,0.00011771895347378705,58200.50001157408
8,4FGL J0358.9+6004,0.0004847260742515475,2.4785443156839903e-05,59107.00001157408
9,4FGL J0358.9+6004,0.00044665858150927943,2.4785443156839903e-05,59352.00001157408
10,4FGL J0427.3-3900,0.0030965841624740692,0.002670943461416726,55568.50001157408
11,4FGL J0427.3-3900,0.003242938502179667,0.002670943461416726,55978.00001157408
12,4FGL J0427.3-3900,0.004469628402570685,0.002670943461416726,57616.00001157408
13,4FGL J0450.3-4419,0.00043530509510092077,0.00040191763615855195,57612.50001157408
14,4FGL J0450.3-4419,0.0004125054174604821,0.00040191763615855195,58606.50001157408
15,4FGL J0450.3-4419,0.00045990584403325326,0.00040191763615855195,60188.50001157408
16,4FGL J0824.7+5552,0.0004617911455966497,0.00035843046934657297,54690.00001157408
17,4FGL J0824.7+5552,0.00043399966755438565,0.00035843046934657297,57479.50001157408
18,4FGL J0824.7+5552,0.0005363052328150222,0.00035843046934657297,58274.00001157408
19,4FGL J0824.7+5552,0.00036527883666070146,0.00035843046934657297,59135.00001157408
20,4FGL J0904.6+5200,0.0008755529975096981,0.0004064823945872671,59383.50001157408
21,4FGL J0911.0-5047,0.00016501800349554862,0.00014636653146818745,57339.50001157408
22,4FGL J1031.6+6019,0.0018784224841929857,7.361000229717936e-05,59621.50001157408
23,4FGL J1031.6+6019,0.0027965751782604094,7.361000229717936e-05,60696.00001157408
24,4FGL J1118.2-0415,0.00047213688188932487,0.0004077860682746755,54956.00001157408
25,4FGL J1209.8+1810,0.00010737383292745981,0.00010174976831415533,55047.00001157408
26,4FGL J1446.7+1719,0.00010828681552415126,0.00010603329499687119,57031.50001157408
27,4FGL J1535.8-4730,0.002999469082207151,4.788285327881628e-05,59110.50001157408
28,4FGL J1635.6+3628,0.002297027959493851,0.0019127445141738394,55127.50001157408
29,4FGL J1635.6+3628,0.003612201223253859,0.0019127445141738394,58172.50001157408
30,4FGL J1635.6+3628,0.0023607715104269076,0.0019127445141738394,58536.50001157408
31,4FGL J1647.5+4950,0.00013484865438356672,0.0001280067520334561,55120.50001157408
32,4FGL J1647.5+4950,0.00016657058947264558,0.0001280067520334561,57542.50001157408
33,4FGL J1716.1+6836,0.00021228964883212887,0.00018630941397767344,59754.50001157408
34,4FGL J1724.9+7654,0.00027027689474434265,0.00024520817671731696,57829.50001157408
35,4FGL J1724.9+7654,0.0002986899759352365,0.00024520817671731696,59058.00001157408
36,4FGL J1808.1-5013,0.0011602765625542337,0.0010976552236073628,55544.00001157408
37,4FGL J1808.1-5013,0.001417271740125865,0.0010976552236073628,58463.00001157408
38,4FGL J1808.1-5013,0.0015918179122163187,0.0010976552236073628,59415.00001157408
39,4FGL J1808.1-5013,0.0012922078387160901,0.0010976552236073628,60433.50001157408
40,4FGL J1824.5+0107,9.248968559783653e-05,8.753716999186501e-05,54833.50001157408
41,4FGL J1824.5+0107,0.00011677948448472274,8.753716999186501e-05,58998.50001157408
42,4FGL J2040.5-1705,0.0007124320029474512,0.00035916631743923897,58123.50001157408
43,4FGL J2040.5-1705,0.000433511639666403,0.00035916631743923897,58263.50001157408
44,4FGL J2040.5-1705,0.0006532936784485705,0.00035916631743923897,59436.00001157408
45,4FGL J2120.6-1254,0.00032623031280092747,0.00022112436764800962,58837.50001157408
46,4FGL J2149.7+1917,0.0004144205456903627,0.0003517623459173305,55666.50001157408
47,4FGL J2149.7+1917,0.00038737948434553095,0.0003517623459173305,58008.00001157408
48,4FGL J2211.2-1325,0.000321392921772088,0.0001278402331128518,60643.50001157408
49,4FGL J2256.0-2740,0.00033432437470874384,0.00028397823592799486,59086.00001157408
