,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph) (0.2-5 MeV),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
0,0,0,0,0,0.0,0,0.0,0.0,,0
1,4FGL J0001.5+2113,FSRQ,6.5939034506037195e-06,17.945967631163082,209.30448543259422,340200.0,2721600.0,0.005136986301369863,3986.1919993323263,0.0
2,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,87.92699844656927,151200.0,1209600.0,0.00228310502283105,6325.806826089098,0.0
3,4FGL J0001.5+2113,FSRQ,7.935911197889019e-06,76.79422547973246,895.6538972197119,1209600.0,9676800.0,0.0182648401826484,1756.6184292064247,0.0
4,4FGL J0001.5+2113,FSRQ,7.684284745273024e-06,25.56100477667619,298.1189458200062,415800.0,3326400.0,0.006278538812785388,3094.171181361564,0.0
5,4FGL J0001.5+2113,FSRQ,8.51658762700285e-06,30.90499318086794,360.4460805884206,453600.0,3628800.0,0.00684931506849315,2673.0355645407258,-0.8333333333333334
6,4FGL J0001.5+2113,FSRQ,7.089782686894579e-06,55.742707397439936,650.129261805911,982800.0,7862400.0,0.014840182648401826,2181.285410536754,0.8461538461538461
7,4FGL J0001.5+2113,FSRQ,9.852143413964659e-06,14.896440841914563,173.73774149574442,189000.0,1512000.0,0.0028538812785388126,3579.9114820030454,0.0
8,4FGL J0001.5+2113,FSRQ,7.222066307698416e-06,54.59882128620002,636.7880757062097,945000.0,7560000.0,0.014269406392694063,2183.7518943272066,0.0
9,4FGL J0001.5+2113,FSRQ,7.958032204712402e-06,33.69112514187042,392.9408408838919,529200.0,4233600.0,0.007990867579908675,2648.377936036416,0.0
10,4FGL J0001.5+2113,FSRQ,6.2918226682580606e-06,190.26471748812375,2219.064449925607,3780000.0,30240000.0,0.05707762557077625,1253.2550440098805,0.98
11,4FGL J0001.5+2113,FSRQ,4.541373572694417e-06,41.19934105148375,480.509441238967,1134000.0,9072000.0,0.017123287671232876,3169.805624662403,0.7666666666666667
12,4FGL J0001.5+2113,FSRQ,6.987473030336428e-06,16.904094754989888,197.15308347336344,302400.0,2419200.0,0.0045662100456621,3989.9263811191995,0.0
13,4FGL J0003.3-1928,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
14,4FGL J0004.3+4614,FSRQ,nan,nan,,10999800.0,87998400.0,0.17787286063569682,,0.0
15,4FGL J0004.4-4737,FSRQ,nan,nan,,2494800.0,19958400.0,0.0375,,0.6666666666666666
16,4FGL J0004.4-4001,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
17,4FGL J0005.9+3824,FSRQ,nan,nan,,4687200.0,37497600.0,0.07276995305164319,,0.0
18,4FGL J0005.9+3824,FSRQ,nan,nan,,1927800.0,15422400.0,0.02992957746478873,,0.0
19,4FGL J0005.9+3824,FSRQ,8.217082251669864e-07,101.38170345452265,1101.1265234915545,15422400.0,123379200.0,0.23943661971830985,5100.236304805701,0.0
20,4FGL J0007.7+4008,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
21,4FGL J0009.1-5012,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
22,4FGL J0009.3+5030,BLL,3.484404079386788e-07,34.24472329221335,412.29246786063516,12285000.0,98280000.0,0.18486916951080773,12156.974467273296,0.4553846153846154
23,4FGL J0009.3+5030,BLL,3.4970198311562546e-07,13.007235202382311,156.60179397195873,4649400.0,37195200.0,0.06996587030716724,19689.97089135164,-0.8861788617886179
24,4FGL J0009.3+5030,BLL,nan,nan,,1625400.0,13003200.0,0.024459613196814563,,0.0
25,4FGL J0009.3+5030,BLL,3.5113680591653937e-07,29.306720550128574,352.84093369392036,10432800.0,83462400.0,0.15699658703071673,13090.759965793555,-0.7681159420289855
26,4FGL J0009.3+5030,BLL,nan,nan,,2343600.0,18748800.0,0.03526734926052332,,0.0
27,4FGL J0010.6+2043,FSRQ,0.00021310427048285433,19526.14761238659,264793.61039629026,11453400.0,91627200.0,0.19104665825977302,18.48667775160986,0.0
28,4FGL J0010.6+2043,FSRQ,nan,nan,,15498000.0,123984000.0,0.25851197982345525,,0.0
29,4FGL J0010.6+2043,FSRQ,0.000159269955501882,3756.7322944139914,50944.954799951716,2948400.0,23587200.0,0.04918032786885246,48.61251214300605,0.46153846153846156
30,4FGL J0010.6-3025,FSRQ,nan,nan,,6161400.0,49291200.0,0.0930365296803653,,0.0
31,4FGL J0010.6-3025,FSRQ,6.848686975492131e-07,20.503325119749324,230.10333164618075,3742200.0,29937600.0,0.05650684931506849,12022.366952071729,0.9494949494949495
32,4FGL J0010.6-3025,FSRQ,6.425776087386957e-07,88.21922287269204,990.0607330608224,17161200.0,137289600.0,0.2591324200913242,5983.572462813765,-0.9911894273127754
33,4FGL J0011.4+0057,FSRQ,nan,nan,,1171800.0,9374400.0,0.018065268065268064,,0.0
34,4FGL J0011.4+0057,FSRQ,2.555870906935426e-06,433.59429822633007,5335.241365208439,21205800.0,169646400.0,0.3269230769230769,1234.4227651939827,0.9536541889483066
35,4FGL J0011.4+0057,FSRQ,nan,nan,,415800.0,3326400.0,0.00641025641025641,,0.0
36,4FGL J0011.4+0057,FSRQ,nan,nan,,75600.0,604800.0,0.0011655011655011655,,0.0
37,4FGL J0011.4+0057,FSRQ,2.7574609271330957e-06,260.16312952189503,3201.2254220251793,11793600.0,94348800.0,0.18181818181818182,1534.27041665536,-0.8846153846153846
38,4FGL J0014.1+1910,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
39,4FGL J0014.3-0500,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
40,4FGL J0014.9+3212,BCU,nan,nan,,17123400.0,136987200.0,0.26184971098265897,,0.0
41,4FGL J0016.2-0016,FSRQ,nan,nan,,831600.0,6652800.0,0.012716763005780347,,0.0
