,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
0,0,0,0,0,0.0,0,0.0,0.0,,0
1,4FGL J0001.2-0747,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
2,4FGL J0001.5+2113,FSRQ,5.385722209237502e-08,0.14657781564660785,1.7144578607657617,680400.0,2721600.0,0.005136986301369863,688005.5188192182,0.0
3,4FGL J0001.5+2113,FSRQ,7.635921214466869e-08,0.09236410301019125,1.0803433095236308,302400.0,1209600.0,0.00228310502283105,727890.279876322,0.0
4,4FGL J0001.5+2113,FSRQ,1.8230169048513682e-08,0.1764096998486572,2.0633886191212203,2419200.0,9676800.0,0.0182648401826484,1077931.2901177527,0.0
5,4FGL J0001.5+2113,FSRQ,3.423445197225688e-08,0.11387748104051529,1.3319760679530481,831600.0,3326400.0,0.006278538812785388,979032.7139495374,0.0
6,4FGL J0001.5+2113,FSRQ,1.354862211345364e-07,0.4916523992530057,5.750647305973613,907200.0,3628800.0,0.00684931506849315,236849.35266453566,-0.8333333333333334
7,4FGL J0001.5+2113,FSRQ,7.095970741585313e-08,0.5579136035864036,6.525676201936217,1965600.0,7862400.0,0.014840182648401826,307226.5962971872,0.8461538461538461
8,4FGL J0001.5+2113,FSRQ,9.656357510965557e-08,0.14600412556579923,1.7077476538743108,378000.0,1512000.0,0.0028538812785388126,514824.51739489345,0.0
9,4FGL J0001.5+2113,FSRQ,7.078546393892864e-08,0.5351381073783006,6.2592809883456075,1890000.0,7560000.0,0.014269406392694063,314082.11776369065,0.0
10,4FGL J0001.5+2113,FSRQ,9.749858587061069e-08,0.4127700131418174,4.827993858399083,1058400.0,4233600.0,0.007990867579908675,304715.9830950753,0.0
11,4FGL J0001.5+2113,FSRQ,1.2654514936512383e-07,2.066431671072726,24.170165223006947,4082400.0,16329600.0,0.030821917808219176,119540.61383449961,0.48148148148148145
12,4FGL J0001.5+2113,FSRQ,1.5354841572569245e-07,0.3714643273235952,4.344858962214602,604800.0,2419200.0,0.0045662100456621,255957.46792574818,0.75
13,4FGL J0001.5+2113,FSRQ,8.794521505215614e-08,0.1861624312224041,2.1774621362758895,529200.0,2116800.0,0.003995433789954338,477745.0950147275,0.0
14,4FGL J0001.5+2113,FSRQ,8.560768814976832e-08,0.2071021191719195,2.4223846878138557,604800.0,2419200.0,0.0045662100456621,459091.95866259397,0.0
15,4FGL J0003.3-1928,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
16,4FGL J0004.4-4737,FSRQ,1.2919960620062346e-08,0.25786174203945234,3.2802424156529564,4989600.0,19958400.0,0.0375,973785.0566197914,0.6666666666666666
17,4FGL J0004.4-4001,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
18,4FGL J0005.9+3824,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
19,4FGL J0007.7+4008,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
20,4FGL J0009.1-5012,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
21,4FGL J0009.3+5030,BLL,2.0429993722734744e-09,0.20078597830703707,2.422135509590609,24570000.0,98280000.0,0.18486916951080773,2926443.882133733,0.4553846153846154
22,4FGL J0009.3+5030,BLL,1.0950698242603864e-09,0.04073134112732992,0.4913531738102278,9298800.0,37195200.0,0.06996587030716724,8874742.0070164,-0.8861788617886179
23,4FGL J0009.3+5030,BLL,1.41848644084196e-09,0.11839028272012801,1.42817397003884,20865600.0,83462400.0,0.15699658703071673,4573728.466143549,-0.7681159420289855
24,4FGL J0009.3+5030,BLL,1.7295181859669e-09,0.032426390565056216,0.3911683111425907,4687200.0,18748800.0,0.03526734926052332,7914602.958966838,0.0
25,4FGL J0010.6+2043,FSRQ,3.0763412822013725e-07,28.18765379325216,383.3624593246394,22906800.0,91627200.0,0.19104665825977302,17853.045059857428,0.0
26,4FGL J0010.6+2043,FSRQ,1.6198349979013614e-07,20.08336223798024,273.1411133232668,30996000.0,123984000.0,0.25851197982345525,29147.660462428696,0.0
27,4FGL J0010.6+2043,FSRQ,2.448028892223051e-06,16.286246614181515,221.4989442177286,1663200.0,6652800.0,0.013871374527112233,8326.558394026288,-0.9090909090909091
28,4FGL J0010.6-3025,FSRQ,8.459951010309278e-10,0.041700113723935665,0.4691509879369268,12322800.0,49291200.0,0.0930365296803653,10699860.374378696,0.0
29,4FGL J0010.6-3025,FSRQ,2.2531681098673012e-09,0.06745444560596332,0.7589024818081141,7484400.0,29937600.0,0.05650684931506849,5154998.953422479,0.9494949494949495
30,4FGL J0010.6-3025,FSRQ,1.8442044112394684e-09,0.25319008593730213,2.8485384893600187,34322400.0,137289600.0,0.2591324200913242,2941052.571791293,-0.9911894273127754
31,4FGL J0011.4+0057,FSRQ,7.734790392942224e-09,0.07250901905959758,0.8944263709521846,2343600.0,9374400.0,0.018065268065268064,2447559.564346312,0.0
32,4FGL J0011.4+0057,FSRQ,3.909392025277676e-09,0.6632142832770668,8.181000822361053,42411600.0,169646400.0,0.3269230769230769,1138339.9336088693,0.9536541889483066
33,4FGL J0011.4+0057,FSRQ,7.256015294973258e-09,0.6845963358623729,8.444756586063566,23587200.0,94348800.0,0.18181818181818182,822407.7118164896,-0.8846153846153846
34,4FGL J0014.1+1910,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
35,4FGL J0014.3-0500,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
36,4FGL J0014.9+3212,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
37,4FGL J0016.2-0016,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
38,4FGL J0017.0-0649,BCU,8.441076302655647e-09,0.9725335415646887,12.694548614033755,28803600.0,115214400.0,0.2199769053117783,604563.9624482222,0.0
39,4FGL J0017.0-0649,BCU,1.6839257400533315e-08,0.5346801009817338,6.979216905926758,7938000.0,31752000.0,0.06062355658198614,577278.0968585281,0.0
40,4FGL J0017.5-0514,FSRQ,2.8126089820691124e-08,0.38273983027996483,4.623996640576505,3402000.0,13608000.0,0.025597269624573378,570408.4852702502,0.8
41,4FGL J0017.5-0514,FSRQ,1.913754387834886e-08,0.4803370413114537,5.803098318102812,6274800.0,25099200.0,0.047212741751990896,617271.5397731155,0.0
42,4FGL J0017.5-0514,FSRQ,2.3860141783537334e-08,0.05772245500273352,0.6973625865466659,604800.0,2419200.0,0.004550625711035267,1594716.6745816336,-0.5
43,4FGL J0017.5-0514,FSRQ,8.910314911447822e-09,0.14819635760720018,1.7904054020719962,4158000.0,16632000.0,0.03128555176336746,1628647.1135082343,0.0
44,4FGL J0017.5-0514,FSRQ,1.1036673734140545e-08,1.0679968439053122,12.902795652995257,24192000.0,96768000.0,0.1820250284414107,545115.1107536174,0.95
45,4FGL J0017.5-0514,FSRQ,4.6633756163452756e-08,0.14102047863828113,1.7037114193182432,756000.0,3024000.0,0.005688282138794084,729795.8514180909,0.0
46,4FGL J0017.5-0514,FSRQ,4.8841993762813873e-08,0.3101661971913732,3.747212441370974,1587600.0,6350400.0,0.011945392491467578,480837.9974672293,-0.6190476190476191
47,4FGL J0019.2-5640,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
48,4FGL J0019.6+7327,FSRQ,4.167670420796494e-08,4.209413807731192,51.80125371138244,25250400.0,101001600.0,0.1928406466512702,138717.20935161613,0.9940119760479041
49,4FGL J0021.5-2552,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
50,4FGL J0021.9-5140,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
51,4FGL J0022.5+0608,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
52,4FGL J0023.7-6820,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
53,4FGL J0023.7+4457,FSRQ,1.9822012588570948e-09,0.06893303097801433,0.7925480772984147,8694000.0,34776000.0,0.06632064590542099,5320105.66950543,0.0
54,4FGL J0024.7+0349,FSRQ,5.3947900457411274e-08,7.9448425628824095,106.82825769988867,36817200.0,147268800.0,0.2808535178777393,81222.41541271676,0.0
55,4FGL J0024.7+0349,FSRQ,3.270278746716873e-08,5.023776048476486,67.550897086432,38404800.0,153619200.0,0.29296424452133796,131189.1905418427,0.952755905511811
56,4FGL J0024.7+0349,FSRQ,7.294331082767184e-08,6.198314071594918,83.34401691466073,21243600.0,84974400.0,0.16205305651672433,79081.79508813155,-0.9110320284697508
57,4FGL J0024.7+0349,FSRQ,6.942867393808158e-08,3.9261081967897877,52.79139201118898,14137200.0,56548800.0,0.10784313725490197,101848.68725215436,0.9411764705882353
58,4FGL J0025.7-4801,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
59,4FGL J0029.0-7044,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
60,4FGL J0030.2-1647,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
61,4FGL J0030.3-4224,FSRQ,1.4135162229932256e-07,0.598426228166412,7.7271711216511525,1058400.0,4233600.0,0.007954545454545454,190389.06822214354,0.0
62,4FGL J0030.3-4224,FSRQ,4.842416422201943e-08,3.1337019937980766,40.46388746116831,16178400.0,64713600.0,0.1215909090909091,142146.6931469831,0.0
63,4FGL J0030.3-4224,FSRQ,9.937307176972165e-08,0.24040333522531063,3.1042050332477467,604800.0,2419200.0,0.004545454545454545,358255.31687162205,0.0
64,4FGL J0030.3-4224,FSRQ,6.688018374163088e-08,3.2157062425915997,41.52276628917616,12020400.0,48081600.0,0.0903409090909091,119401.55108570968,0.5974842767295597
65,4FGL J0030.3-4224,FSRQ,1.0930955187160625e-07,5.883827110503324,75.97484333595466,13456800.0,53827200.0,0.10113636363636364,69045.97221011555,-0.9775280898876404
66,4FGL J0030.6-0212,BCU,7.791272441368468e-09,0.24974456334460143,2.959388428166201,8013600.0,32054400.0,0.06162790697674419,1367879.9276939763,-0.8490566037735849
67,4FGL J0030.6-0212,BCU,3.505829245793803e-08,0.042406510557121836,0.5025027770013596,302400.0,1209600.0,0.002325581395348837,1564908.0534606394,0.0
68,4FGL J0030.6-0212,BCU,3.693432148578755e-08,0.04467575526920862,0.5293925577104625,302400.0,1209600.0,0.002325581395348837,1485420.7263115947,0.0
69,4FGL J0030.6-0212,BCU,1.3750250535788222e-08,0.7484536371640245,8.86892192237985,13608000.0,54432000.0,0.10465116279069768,594788.4105304469,0.35555555555555557
70,4FGL J0030.6-0212,BCU,8.464941432820584e-09,0.5631556236426878,6.673203266352169,16632000.0,66528000.0,0.12790697674418605,873924.6898058595,-0.9636363636363636
71,4FGL J0030.6-0212,BCU,7.45505073682358e-09,0.14653647728300428,1.7364075892903168,4914000.0,19656000.0,0.0377906976744186,1825584.8160688453,0.0
72,4FGL J0030.6-0212,BCU,1.5152842793692946e-08,0.10997327185950594,1.3031459976148971,1814400.0,7257600.0,0.013953488372093023,1478119.8100290957,0.0
73,4FGL J0030.6-0212,BCU,1.1929534586021722e-08,0.05050487762338156,0.5984656819069705,1058400.0,4233600.0,0.00813953488372093,2458226.0936966003,-0.5714285714285714
74,4FGL J0030.6-0212,BCU,2.5413797773857046e-08,0.16907291382991615,2.003456723957594,1663200.0,6652800.0,0.012790697674418604,920510.1283274506,0.0
75,4FGL J0030.6-0212,BCU,2.7233688054282292e-08,0.14823841081706937,1.7565749248221438,1360800.0,5443200.0,0.010465116279069767,949657.0336111801,0.0
76,4FGL J0030.6-0212,BCU,3.5761803343381604e-08,0.043257477324154386,0.5125864447672732,302400.0,1209600.0,0.002325581395348837,1534123.002577096,0.0
77,4FGL J0030.6-0212,BCU,1.2229063579616561e-08,0.14422468423256588,1.709013625192918,2948400.0,11793600.0,0.022674418604651164,1436758.7126794762,0.0
78,4FGL J0032.3-5522,BCU,4.687147795960398e-10,0.012898280790835659,0.13142603209496856,6879600.0,27518400.0,0.054819277108433734,28538834.916315567,-0.23076923076923078
79,4FGL J0033.5-1921,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
80,4FGL J0033.9+3858,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
81,4FGL J0034.0-4116,BCU,1.0834662110155717e-07,9.108397065468827,120.51277610792633,21016800.0,84067200.0,0.16087962962962962,54398.57051117857,0.24820143884892087
82,4FGL J0035.2+1514,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
83,4FGL J0035.8+6131,BCU,1.9591845669265098e-08,1.7477493684638008,21.667838710622203,22302000.0,89208000.0,0.16993087557603687,311668.24825005967,0.0
84,4FGL J0035.8+6131,BCU,1.5690808780533333e-08,1.6986744059335144,21.059428607879205,27064800.0,108259200.0,0.20622119815668202,353258.02287152957,0.8603351955307262
85,4FGL J0035.9+5950,BLL,6.61842006749456e-09,0.02001410228410355,0.23149273273720083,756000.0,3024000.0,0.0056753688989784334,5371055.499169959,0.0
86,4FGL J0037.8+1239,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
87,4FGL J0038.2-2459,FSRQ,3.158157345378249e-08,0.2292064274981718,2.761801541648465,1814400.0,7257600.0,0.013636363636363636,697445.7286870333,-0.5833333333333334
88,4FGL J0038.2-2459,FSRQ,3.420045360843611e-08,0.031026651513573242,0.3738527532482035,226800.0,907200.0,0.0017045454545454545,1821618.11793001,0.0
89,4FGL J0038.2-2459,FSRQ,2.5381808836664334e-08,0.3223692776727064,3.8843586446269445,3175200.0,12700800.0,0.023863636363636365,655998.0136815013,-0.5714285714285714
90,4FGL J0038.2-2459,FSRQ,3.4287477663419416e-08,0.09331679920876228,1.1244120975556655,680400.0,2721600.0,0.005113636363636364,1049042.393884803,0.0
91,4FGL J0038.2-2459,FSRQ,3.982916948475583e-08,0.3613302255657049,4.35381496454549,2268000.0,9072000.0,0.017045454545454544,494638.60841619543,0.4666666666666667
92,4FGL J0038.2-2459,FSRQ,2.629894136612448e-08,0.6362239895292834,7.666121819946462,6048000.0,24192000.0,0.045454545454545456,458739.8706019591,-0.55
93,4FGL J0038.2-2459,FSRQ,3.697727116977386e-08,0.3242758772504489,3.907332039005937,2192400.0,8769600.0,0.016477272727272726,541896.0716479713,-0.9310344827586207
