,Unnamed: 0.1,Unnamed: 0,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
1,1,1,4FGL J0001.5+2113,FSRQ,6.59390345060372e-06,17.945967631163082,209.30448543259425,13608000.0,2721600.0,56765.50001157408,0.0051369863013698,25203.33384931958,0.0,5.303845714759447e-06,7.626217102361642e-06
2,2,2,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,87.92699844656927,6048000.0,1209600.0,56814.50001157408,0.002283105022831,39996.57816755949,0.0,5.303845714759447e-06,6.2325936724884485e-06
3,3,3,4FGL J0001.5+2113,FSRQ,7.935911197889019e-06,76.79422547973246,895.6538972197119,48384000.0,9676800.0,56870.50001157408,0.0182648401826484,11105.82234299375,0.0,5.303845714759447e-06,1.2697457916622429e-05
4,4,4,4FGL J0001.5+2113,FSRQ,7.684284745273024e-06,25.56100477667619,298.1189458200062,16632000.0,3326400.0,57280.00001157408,0.0062785388127853,19562.420546020505,0.0,5.303845714759447e-06,8.94241700835299e-06
5,5,5,4FGL J0001.5+2113,FSRQ,1.5407281252486975e-05,55.909942209024734,652.079727609961,18144000.0,3628800.0,57416.50001157408,0.0068493150684931,9341.350362455923,-0.8333333333333334,5.303845714759447e-06,2.609172754818145e-05
6,6,6,4FGL J0001.5+2113,FSRQ,1.3945167782256765e-05,109.6424871712156,1278.7643904511924,39312000.0,7862400.0,57465.50001157408,0.0148401826484018,7011.567775329503,0.8461538461538461,5.303845714759447e-06,3.46083151751843e-05
7,7,7,4FGL J0001.5+2113,FSRQ,9.85214341396466e-06,14.896440841914565,173.73774149574442,7560000.0,1512000.0,57570.50001157408,0.0028538812785388,22631.208921234367,0.0,5.303845714759447e-06,1.234905205915413e-05
8,8,8,4FGL J0001.5+2113,FSRQ,7.222066307698416e-06,54.59882128620002,636.7880757062097,37800000.0,7560000.0,57644.00001157408,0.014269406392694,13806.7249488719,0.0,5.303845714759447e-06,1.2426475583035971e-05
9,9,9,4FGL J0001.5+2113,FSRQ,7.958032204712402e-06,33.69112514187042,392.9408408838919,21168000.0,4233600.0,57801.50001157408,0.0079908675799086,16743.7531074672,0.0,5.303845714759447e-06,1.3781387250968248e-05
10,10,10,4FGL J0001.5+2113,FSRQ,9.652411647626227e-06,291.8889282242171,3404.3113852134866,151200000.0,30240000.0,57990.50001157408,0.0570776255707762,5165.204787503678,0.98,5.303845714759447e-06,1.9975269161515773e-05
11,11,11,4FGL J0001.5+2113,FSRQ,6.145492208121374e-06,55.75190531207711,650.2365374251339,45360000.0,9072000.0,58393.00001157408,0.0171232876712328,14811.67942657609,0.7666666666666667,5.303845714759447e-06,1.3742675489027325e-05
12,12,12,4FGL J0001.5+2113,FSRQ,6.987473030336428e-06,16.904094754989888,197.15308347336344,12096000.0,2419200.0,60706.50001157408,0.0045662100456621,25226.49376128257,0.0,5.303845714759447e-06,1.0607022771812636e-05
