,Name,Quiescent_Background,Quiescent_Background_Error,Average_Source_Flux (0.2-5 MeV)
0,4FGL J0001.2-0747,4.5493975903614456e-08,3.768833128391315e-09,2.808743108173559e-06
1,4FGL J0001.5+2113,1.0811465703971119e-07,2.5930925935645325e-09,4.178316427339017e-06
2,4FGL J0003.3-1928,-3333,-3333,4.5586481413437245e-09
3,4FGL J0004.3+4614,6.338666666666665e-08,7.429585096810172e-09,7.210187682267299e-06
4,4FGL J0004.4-4737,4.2475145631067966e-08,2.6771676294681644e-09,3.001727450164518e-06
5,4FGL J0004.4-4001,-3333,-3333,5.694403259345871e-06
6,4FGL J0005.9+3824,6.1185e-08,3.630762961186178e-09,7.609282714233596e-07
7,4FGL J0007.7+4008,-3333,-3333,2.3026915475735737e-07
8,4FGL J0009.1-5012,-3333,-3333,3.2335564908366515e-07
9,4FGL J0009.3+5030,3.517634782608695e-08,1.3933878541113495e-09,3.097343386334063e-07
10,4FGL J0010.6+2043,5.994521126760563e-08,4.556964520003867e-09,0.00015255395953227803
11,4FGL J0010.6-3025,5.7120714285714285e-08,2.9371611554588144e-09,6.01689776735826e-07
12,4FGL J0011.4+0057,7.240981012658228e-08,3.391400412286555e-09,2.353260516683529e-06
13,4FGL J0014.1+1910,-3333,-3333,1.646959298733862e-08
14,4FGL J0014.3-0500,-3333,-3333,5.392089539089057e-06
15,4FGL J0014.9+3212,5.709358974358974e-08,3.9094222825015205e-09,3.7400754794385553e-07
16,4FGL J0016.2-0016,7.735644295302015e-08,4.084499653840385e-09,8.830894561022233e-07
17,4FGL J0017.0-0649,4.88266129032258e-08,4.303289553657209e-09,5.389424235991325e-06
18,4FGL J0017.5-0514,7.403121951219513e-08,2.6794421841199122e-09,2.6769784768534134e-06
19,4FGL J0019.2-5640,4.801436363636364e-08,2.868354992039925e-09,1.6739048707718336e-05
20,4FGL J0019.6+7327,1.166277990430622e-07,3.528005681784392e-09,5.854536360561238e-06
21,4FGL J0021.5-2552,-3333,-3333,4.231505978923339e-07
22,4FGL J0021.9-5140,3.123132231404959e-08,2.284345489405903e-09,5.833753792192059e-07
23,4FGL J0022.5+0608,5.610636125654451e-08,1.794861377571187e-09,1.8041652623189981e-06
24,4FGL J0023.7-6820,-3333,-3333,4.82958205111024e-06
25,4FGL J0023.7+4457,4.893790697674419e-08,2.6433141549754336e-09,6.241147105987391e-07
26,4FGL J0024.7+0349,8.184513157894736e-08,5.020951942393587e-09,4.810480937594323e-05
27,4FGL J0025.7-4801,-3333,-3333,6.671982885713644e-09
28,4FGL J0029.0-7044,3.130846153846154e-08,6.847053328674626e-09,1.2812908386079739e-05
29,4FGL J0030.2-1647,-3333,-3333,3.7187303732030645e-10
30,4FGL J0030.3-4224,6.647147668393782e-08,1.634863392846357e-09,7.666453996830661e-06
31,4FGL J0030.6-0212,7.301545126353792e-08,2.411458273024043e-09,1.4922424704440776e-06
32,4FGL J0032.3-5522,4.840597014925374e-08,3.5247003418730507e-09,8.769623756276533e-08
33,4FGL J0033.5-1921,-3333,-3333,1.1645966274355205e-08
34,4FGL J0033.9+3858,4.4978648648648655e-08,5.1077593870187994e-09,3.9213591275832817e-07
35,4FGL J0034.0-4116,6.076565217391304e-08,2.9159964068513426e-09,2.2553829639264758e-05
36,4FGL J0035.2+1514,2.5063162601626012e-08,2.124036520284696e-09,4.35160460813682e-09
37,4FGL J0035.8+6131,1.706739189189189e-07,1.0979029964031939e-08,1.024759410574308e-05
38,4FGL J0035.9+5950,3.815177419354839e-08,2.274248914625528e-09,7.390121839765958e-08
39,4FGL J0036.9+1832,4.532631578947368e-08,6.5933721455716425e-09,4.028265712333759e-06
40,4FGL J0037.8+1239,5.0085057471264366e-08,3.6408273916891995e-09,5.527989278876823e-05
41,4FGL J0038.2-2459,9.030429487179488e-08,1.9510308360124866e-09,1.5864299862839207e-06
42,4FGL J0039.1+4330,3.6212941176470585e-08,7.210717139554613e-09,3.179496210421217e-09
43,4FGL J0043.8+3425,4.049674259681093e-08,1.2987837112528406e-09,1.8359627748396516e-07
44,4FGL J0044.2-8424,6.59e-08,1.0500784494503256e-08,0.00017767843732361847
45,4FGL J0045.1-3706,5.953628205128205e-08,4.033781031333828e-09,4.24894277392011e-05
46,4FGL J0045.3+2128,2.0946566265060243e-08,1.4076730331838833e-09,1.8922823146837383e-08
47,4FGL J0045.7+1217,4.2057578947368417e-08,3.4961341683728172e-09,2.4833149297166892e-06
48,4FGL J0047.0+5657,-3333,-3333,1.2263162716605687e-07
49,4FGL J0047.9+3947,-3333,-3333,1.3050321698882279e-05
50,4FGL J0047.9+2233,-3333,1.48e-08,7.893617296637571e-05
51,4FGL J0049.7+0237,6.584494350282485e-08,2.377071499410746e-09,2.148017722603706e-07
52,4FGL J0050.0-5736,6.412480686695278e-08,2.1586448159380666e-09,1.83906311128395e-05
53,4FGL J0050.4-0452,6.436005235602095e-08,2.7814879097098334e-09,1.4439892511985339e-06
54,4FGL J0050.7-0929,4.892172351885098e-08,1.2921719485324682e-09,7.338809997495133e-07
55,4FGL J0051.1-0648,5.468610294117647e-08,3.1763147414876643e-09,2.7226545964735497e-07
56,4FGL J0051.2-6242,-3333,-3333,3.137940678139868e-09
57,4FGL J0051.5-4220,5.387408163265306e-08,2.5751321026416325e-09,5.513041587153525e-07
58,4FGL J0055.1-1219,-3333,-3333,2.7092042156085465e-07
59,4FGL J0056.3-0935,4.19542718446602e-08,3.060832771333326e-09,4.341468603997487e-07
60,4FGL J0056.4-2118,2.3046993006993004e-08,1.8507995303706909e-09,3.7022052918456295e-09
61,4FGL J0056.6-5317,2.508125e-08,5.898545541586743e-09,1.3484586582067054e-08
62,4FGL J0058.0-0539,6.194861111111111e-08,4.503513775877424e-09,3.5229924772713604e-05
63,4FGL J0058.0-3233,-3333,-3333,1.0715438864989047e-08
64,4FGL J0058.4+3315,5.292704545454546e-08,4.753191172358593e-09,2.42555142911102e-10
65,4FGL J0059.4-5654,4.2230639269406396e-08,1.8452515758289366e-09,3.297945848487045e-08
66,4FGL J0100.3+0745,3.5856863468634684e-08,1.9110282086715085e-09,7.843707141895194e-09
67,4FGL J0102.4+4214,6.984443396226414e-08,3.3346282070215375e-09,1.637924165816778e-06
