Swift_BAT_name,Type_BAT,Fermi_LAT_name,Type_LAT,Sep_deg,Flag,1FLE,BAT_ra,BAT_dec,index_BAT,index_LAT,Flux_BAT,Flux_LAT,VarIndex
[HB89]0537-441,BeamedAGN,PKS0537-441,BLL,0.063,M,1,84.63,-44.12,0.88,2.11,1.5e+00,1.7e+01,9.8e+03
[HB89]0716+714,BeamedAGN,S50716+71,BLL,0.01,M,1,110.5,71.33,1.15,2.08,1.9e+00,2.1e+01,2.7e+03
Mrk421,BeamedAGN,Mkn421,BLL,0.014,M,1,166.1,38.21,2.76,1.78,1.4e+01,4.2e+01,1.3e+03
Mrk501,BeamedAGN,Mkn501,BLL,0.001,M,0,253.5,39.76,2.39,1.76,7.2e+00,1.3e+01,5.4e+02
BLLac,BeamedAGN,BLLac,BLL,0.018,M,1,330.7,42.27,1.76,2.2,3.5e+00,2.3e+01,3.5e+03
1ES0033+595,BeamedAGN,1ES0033+595,bll,0.008,M,0,8.989,59.84,2.81,1.76,2.6e+00,4.0e+00,2.0e+02
2MASXJ01155048+2515369,Sy1,RXJ0115.7+2519,bll,0.018,A,0,18.97,25.33,1.97,1.92,1.1e+00,2.0e+00,3.1e+02
SHBLJ012308.7+342049,BeamedAGN,1ES0120+340,bll,0.021,M,0,20.78,34.37,2.94,1.7,1.1e+00,3.0e-01,1.5e+01
0133+388,BeamedAGN,B30133+388,bll,0.052,M,0,24.13,39.05,1.99,1.72,7.9e-01,5.1e+00,6.1e+01
RBS259,BeamedAGN,1RXSJ015658.6-530208,bll,0.062,M,0,29.13,-53.04,2.31,1.74,7.3e-01,5.9e-01,4.5e+01
2MASXJ02141794+5144520,BeamedAGN,TXS0210+515,bll,0.03,M,0,33.55,51.77,2.58,1.9,1.4e+00,5.3e-01,1.3e+01
QSOB0229+200,BeamedAGN,1ES0229+200,bll,0.036,M,0,38.19,20.29,2.28,1.79,2.3e+00,3.7e-01,6.8e+00
ESO416-G002,Sy1.9,PHL1389,bll,0.068,A,0,38.83,-29.63,1.67,2.03,2.1e+00,1.7e-01,1.4e+01
BZBJ0244-5819,BeamedAGN,RBS0351,bll,0.031,M,0,41.19,-58.3,2.43,1.75,1.0e+00,6.7e-01,4.0e+01
QSOB0347-121,BeamedAGN,1ES0347-121,bll,0.018,M,0,57.37,-11.98,2.2,1.76,1.6e+00,3.9e-01,1.3e+01
PKS0352-686,BeamedAGN,PKS0352-686,bll,0.004,M,0,58.28,-68.53,2.52,1.67,1.2e+00,3.3e-01,8.3e+00
PKS0426-380,BeamedAGN,PKS0426-380,bll,0.059,M,0,67.14,-37.89,2.56,2.1,3.8e-01,2.1e+01,3.5e+03
PKS0548-322,BeamedAGN,PKS0548-322,bll,0.054,M,0,87.69,-32.27,3.23,1.89,1.8e+00,3.9e-01,9.0e+00
PMNJ0640-1253,BeamedAGN,TXS0637-128,bll,0.056,M,0,100.1,-12.87,2.56,1.65,7.9e-01,5.6e-01,4.9e+00
2MASXJ07103005+5908202,BeamedAGN,1H0658+595,bll,0.008,M,0,107.6,59.14,2.28,1.69,2.4e+00,6.7e-01,2.7e+01
2MASSJ09303759+4950256,BeamedAGN,1ES0927+500,bll,0.069,M,0,142.5,49.88,2.59,1.82,7.4e-01,2.3e-01,1.6e+01
2MASSJ09343014-1721215,BeamedAGN,RXCJ0934.4-1721,bll,0.039,M,0,143.6,-17.34,2.73,1.94,7.9e-01,2.1e-01,8.0e+00
2MASXJ10311847+5053358,BeamedAGN,1ES1028+511,bll,0.02,M,0,157.9,50.9,2.85,1.74,7.8e-01,1.2e+00,1.3e+01
2MASXJ11033765-2329307,BeamedAGN,1ES1101-232,bll,0.045,M,0,165.9,-23.47,2.53,1.77,1.1e+00,5.5e-01,1.3e+01
2MASXJ11363009+6737042,BeamedAGN,RXJ1136.5+6737,bll,0.033,M,0,174.1,67.64,2.33,1.75,1.3e+00,6.3e-01,2.8e+01
FBQSJ1221+3010,BeamedAGN,PG1218+304,bll,0.008,M,0,185.3,30.16,2.94,1.71,1.1e+00,4.4e+00,6.0e+01
[HB89]1415+259,BeamedAGN,1E1415.6+2557,bll,0.041,M,0,214.4,25.72,2.61,1.45,5.9e-01,3.3e-01,8.1e+00
1ES1426+428,BeamedAGN,H1426+428,bll,0.027,M,0,217.1,42.66,2.56,1.63,2.1e+00,8.8e-01,1.6e+01
[HB89]1803+784,BeamedAGN,S51803+784,bll,0.057,M,1,269.9,78.47,1.93,2.21,9.1e-01,5.4e+00,2.8e+02
QSOB1959+650,BeamedAGN,1ES1959+650,bll,0.019,M,0,300.,65.16,2.67,1.82,2.9e+00,1.1e+01,1.5e+03
2MASXJ23470479+5142179,BeamedAGN,1ES2344+514,bll,0.005,M,0,356.8,51.69,2.66,1.81,1.0e+00,3.2e+00,6.0e+01
H2356-309,BeamedAGN,H2356-309,bll,0.058,M,0,359.8,-30.58,2.28,1.82,1.5e+00,5.3e-01,1.2e+01
3C454.3,BeamedAGN,3C454.3,FSRQ,0.011,M,1,343.5,16.15,1.5,2.4,1.6e+01,1.0e+02,5.6e+04
[HB89]2230+114,BeamedAGN,CTA102,FSRQ,0.031,M,1,338.2,11.71,1.49,2.29,3.0e+00,4.9e+01,7.5e+04
PKS2227-088,BeamedAGN,PKS2227-08,FSRQ,0.072,M,1,337.5,-8.492,1.46,2.59,1.7e+00,4.2e+00,6.4e+02
[HB89]2142-758,BeamedAGN,PKS2142-75,FSRQ,0.074,M,1,327.1,-75.58,1.41,2.44,1.5e+00,5.6e+00,2.8e+03
QSOB2013+370,BeamedAGN,MG2J201534+3710,FSRQ,0.036,M,0,303.9,37.21,2.13,2.45,1.8e+00,7.5e+00,1.3e+02
PKS1830-21,BeamedAGN,PKS1830-211,FSRQ,0.017,M,1,278.4,-21.07,1.47,2.53,8.7e+00,1.9e+01,2.5e+03
3C345,BeamedAGN,3C345,FSRQ,0.026,M,0,250.8,39.81,1.17,2.4,2.1e+00,3.0e+00,2.0e+02
PKS1622-29,BeamedAGN,PKSB1622-297,FSRQ,0.034,M,1,246.6,-29.86,1.32,2.56,1.6e+00,3.9e+00,4.3e+02
PKS1510-08,BeamedAGN,PKS1510-089,FSRQ,0.025,M,1,228.2,-9.081,1.32,2.38,6.7e+00,4.2e+01,5.9e+03
3C279,BeamedAGN,3C279,FSRQ,0.015,M,1,194.1,-5.799,1.32,2.29,3.9e+00,4.5e+01,3.0e+04
3C273,BeamedAGN,3C273,FSRQ,0.009,M,1,187.3,2.047,1.75,2.7,4.2e+01,1.1e+01,7.0e+03
PG1222+216,BeamedAGN,4C+21.35,FSRQ,0.021,M,1,186.2,21.4,1.7,2.34,2.5e+00,2.0e+01,2.0e+04
4C+49.22,BeamedAGN,4C+49.22,FSRQ,0.017,M,1,178.3,49.5,1.83,2.41,1.3e+00,1.6e+00,1.2e+03
