# of Flares,Detection Threshold (ph/cm^2)
130.0,0.2552256
129.0,0.276696
128.0,0.33264
127.0,0.4100544
126.0,0.4300128
125.0,0.44271360000000004
124.0,0.4548096
123.0,0.607824
122.0,0.6229439999999999
121.0,0.6326208
120.0,0.69552
119.0,0.8019647999999999
118.0,0.840672
117.0,0.931392
116.0,1.00106496
115.0,1.1838959999999998
114.0,1.2706848
113.0,1.3378176000000002
112.0,1.3928544
111.0,1.5168384
110.0,1.8700416000000002
109.0,2.2226399999999997
108.0,2.4143616
107.0,2.942352
106.0,2.97851904
105.0,3.24547776
104.0,3.3445440000000004
103.0,3.3457535999999997
102.0,3.4546175999999997
101.0,4.5698688
100.0,4.7803392
99.0,4.817232000000001
98.0,4.8665232000000005
97.0,5.00580864
96.0,6.1483967999999996
95.0,6.176217599999999
94.0,6.1979904
93.0,6.5772
92.0,7.29080352
91.0,7.376019840000001
90.0,7.6804459199999995
89.0,7.717368959999999
88.0,8.28630432
87.0,8.403696
86.0,8.488368
85.0,8.68625856
84.0,9.513504
83.0,9.8473536
82.0,10.18062864
81.0,10.90768896
80.0,11.11658688
79.0,11.500181280000001
78.0,11.8794816
77.0,14.425084799999999
76.0,15.366153599999999
75.0,15.424819200000002
74.0,15.967748160000003
73.0,17.234017920000003
72.0,17.654111999999998
71.0,18.636307199999997
70.0,19.958399999999997
69.0,21.4138512
68.0,22.452958080000002
67.0,23.05902816
66.0,23.097856319999995
65.0,23.171702400000004
64.0,23.68009728
63.0,24.155651520000003
62.0,24.375375360000003
61.0,25.460870400000005
60.0,26.404963200000005
59.0,26.416091520000005
58.0,26.837395200000003
57.0,28.170072
56.0,30.509135999999998
55.0,31.749580799999997
54.0,31.831380000000003
53.0,32.27073696000001
52.0,33.1109856
51.0,34.072012799999996
50.0,34.94401344
49.0,36.710150399999996
48.0,36.99746064
47.0,43.17546240000001
46.0,44.12221632
45.0,49.53829104000002
44.0,56.32042752
43.0,64.16084303999999
42.0,65.70371808
41.0,66.58231104000001
40.0,69.051528
39.0,69.13623024
38.0,69.15993839999999
37.0,83.70419904
36.0,98.2842336
35.0,99.60645945600001
34.0,117.20298240000001
33.0,119.2713984
32.0,124.05134448
31.0,143.139528
30.0,148.22136
29.0,158.09314752
28.0,160.76173680000002
27.0,184.36665441600002
26.0,187.3984896
25.0,187.84567872
24.0,205.00515504000003
23.0,210.8753136
22.0,229.40311967999997
21.0,230.13541152000002
20.0,243.19854719999998
19.0,276.02055936
18.0,282.62400768000003
17.0,289.713506544
16.0,301.1904
15.0,323.7542784
14.0,326.67969600000004
13.0,349.5559536
12.0,356.2083
11.0,365.47604351999996
10.0,440.38808352
9.0,456.00740640000004
8.0,467.81364671999995
7.0,575.87359536
6.0,597.1553279999999
5.0,788.0570611200001
4.0,809.8134105600001
3.0,907.934832
2.0,1761.6109392
1.0,2137.7288015999993
0.0,2165.2607793599996
