# of Flares,Detection Threshold (ph/cm^2)
417.0,0.059391360000000004
416.0,0.09821952
415.0,0.1306368
414.0,0.1378944
413.0,0.1463616
412.0,0.15812496
411.0,0.163296
410.0,0.1681344
409.0,0.1862784
408.0,0.193536
407.0,0.223776
406.0,0.2443392
405.0,0.244944
404.0,0.24948
403.0,0.2769984
402.0,0.30481919999999996
401.0,0.308448
400.0,0.31933439999999996
399.0,0.32958576
398.0,0.33602688000000003
397.0,0.35459424
396.0,0.37376639999999994
395.0,0.3822336
394.0,0.4227552
393.0,0.4306176
392.0,0.44706816000000005
391.0,0.45208800000000005
390.0,0.4526928
389.0,0.45722880000000005
388.0,0.47138111999999993
387.0,0.4844448
386.0,0.5062176
384.0,0.5334336
384.0,0.5334336
383.0,0.5524848
382.0,0.562464
381.0,0.5824224
380.0,0.6041952
379.0,0.6314112000000001
378.0,0.6790392
377.0,0.6840288
376.0,0.7390656
375.0,0.783216
374.0,0.7980336
373.0,0.80777088
372.0,0.8309951999999999
371.0,0.8337168
370.0,0.858816
369.0,0.8763552000000001
368.0,0.8802864
367.0,0.9047807999999999
366.0,0.905688
365.0,0.9265536
364.0,0.9988272000000001
363.0,0.9991296000000001
362.0,1.0088063999999999
361.0,1.0281600000000002
360.0,1.0360224
359.0,1.06387344
358.0,1.0714939200000002
357.0,1.1248100639999998
356.0,1.1303712
355.0,1.1488175999999999
354.0,1.1684736
353.0,1.1829888
352.0,1.20349152
351.0,1.221696
350.0,1.2573792
349.0,1.30419072
348.0,1.3408416
347.0,1.38184704
346.0,1.4345856
345.0,1.46276928
344.0,1.47619584
343.0,1.483272
342.0,1.5173222400000004
341.0,1.714608
340.0,1.73027232
339.0,1.86109056
338.0,1.8839519999999998
337.0,1.92665088
336.0,1.9287072000000003
335.0,1.93536
334.0,1.9414079999999998
333.0,1.9523246400000003
332.0,1.9631808000000002
331.0,2.0756736
330.0,2.08220544
329.0,2.1051575999999996
328.0,2.11099392
327.0,2.2006252799999997
326.0,2.261952
325.0,2.3013849599999996
324.0,2.33758224
323.0,2.3617137599999998
322.0,2.4648624
321.0,2.6004888
320.0,2.7095040000000004
319.0,2.71561248
318.0,2.9427753599999997
