# of Flares,Detection Threshold (ph/cm^2)
1846.0,0.059391360000000004
1845.0,0.09821952
1844.0,0.1233792
1842.0,0.127008
1842.0,0.127008
1841.0,0.1306368
1840.0,0.1378944
1839.0,0.1463616
1838.0,0.1499904
1837.0,0.15240959999999998
1836.0,0.15482880000000002
1835.0,0.15812496
1834.0,0.15876
1833.0,0.163296
1832.0,0.16783199999999998
1831.0,0.1681344
1830.0,0.1778112
1829.0,0.1862784
1828.0,0.187488
1827.0,0.18899999999999997
1826.0,0.193536
1825.0,0.1947456
1824.0,0.1959552
1823.0,0.2104704
1822.0,0.21409920000000002
1820.0,0.223776
1820.0,0.223776
1819.0,0.23435999999999998
1818.0,0.23538816
1815.0,0.23587200000000003
1815.0,0.23587200000000003
1815.0,0.23587200000000003
1814.0,0.23950079999999999
1812.0,0.24192
1812.0,0.24192
1810.0,0.2443392
1810.0,0.2443392
1809.0,0.244944
1808.0,0.2455488
1807.0,0.247968
1806.0,0.24948
1805.0,0.2528064
1804.0,0.2552256
1803.0,0.2646
1802.0,0.2688336
1801.0,0.2697408
1800.0,0.2703456
1799.0,0.2745792
1798.0,0.276696
1797.0,0.2769984
1796.0,0.2776032
1795.0,0.278208
1794.0,0.28728
1793.0,0.28909440000000003
1792.0,0.2927232
1791.0,0.2939328
1790.0,0.29701728000000005
1789.0,0.29846880000000003
1788.0,0.3011904
1786.0,0.30481919999999996
1786.0,0.30481919999999996
1785.0,0.308448
1784.0,0.31086719999999995
1783.0,0.3120768
1782.0,0.31933439999999996
1781.0,0.320544
1780.0,0.32175360000000003
1779.0,0.32417280000000004
1778.0,0.32665248
1777.0,0.32958576
1776.0,0.3314304
1775.0,0.33264
1774.0,0.33602688000000003
1773.0,0.34056287999999996
1772.0,0.35320320000000005
1771.0,0.35459424
1770.0,0.3556224
1769.0,0.36070272000000003
1768.0,0.3701376
1766.0,0.37376639999999994
1766.0,0.37376639999999994
1765.0,0.3773952
1763.0,0.38102400000000003
1763.0,0.38102400000000003
1761.0,0.3822336
1761.0,0.3822336
1760.0,0.391608
1759.0,0.3943296
1758.0,0.40158720000000003
1757.0,0.405216
1756.0,0.409752
1755.0,0.4100544
1754.0,0.41126399999999996
1753.0,0.41803776000000004
1752.0,0.4227552
1751.0,0.42335999999999996
1750.0,0.4300128
1749.0,0.4306176
1748.0,0.43787519999999996
1747.0,0.43848
1745.0,0.44271360000000004
1745.0,0.44271360000000004
1744.0,0.4463424
1743.0,0.44706816000000005
1742.0,0.4487616
1740.0,0.45118080000000005
1740.0,0.45118080000000005
1739.0,0.4517856
1738.0,0.45208800000000005
1737.0,0.4526928
1736.0,0.4548096
1735.0,0.45559584000000003
1734.0,0.45722880000000005
1733.0,0.47138111999999993
1732.0,0.47174399999999994
1731.0,0.480816
1730.0,0.4844448
1729.0,0.4935168
1728.0,0.5062176
1727.0,0.5225472
1726.0,0.532224
1723.0,0.5334336
1723.0,0.5334336
1723.0,0.5334336
1722.0,0.5388767999999999
1721.0,0.5521824
1720.0,0.5524848
1719.0,0.5539968
1718.0,0.562464
1717.0,0.5824224
1716.0,0.583632
1715.0,0.5890751999999999
1714.0,0.5914944
1713.0,0.592704
1712.0,0.5975423999999999
1711.0,0.5987520000000001
1710.0,0.6041952
1709.0,0.607824
1708.0,0.6087312
1707.0,0.6144768
1706.0,0.616896
1705.0,0.6217343999999999
1704.0,0.6229439999999999
1703.0,0.622944
1702.0,0.6277824000000001
1701.0,0.6314112000000001
1700.0,0.6326208
1699.0,0.63504
1698.0,0.6419952
1697.0,0.6422976000000001
1696.0,0.6452006400000001
1695.0,0.6549984
1694.0,0.6604416000000001
1693.0,0.6616512
1692.0,0.6676991999999999
1691.0,0.6737472
1690.0,0.6790392
1689.0,0.67931136
1688.0,0.6840288
1687.0,0.6870528
1685.0,0.6876575999999999
1685.0,0.6876575999999999
1683.0,0.6894720000000001
1683.0,0.6894720000000001
1681.0,0.69552
1681.0,0.69552
1680.0,0.7003583999999999
1679.0,0.7051968
1678.0,0.7076159999999999
1677.0,0.707616
1675.0,0.7112448
1675.0,0.7112448
1674.0,0.7221312
1673.0,0.737856
1672.0,0.7390656
1671.0,0.7487424
1670.0,0.75527424
1669.0,0.7620480000000001
1668.0,0.76857984
1667.0,0.77112
1666.0,0.78203664
1665.0,0.783216
1664.0,0.7886592
1663.0,0.7980336
1662.0,0.8019647999999999
1661.0,0.8055935999999999
1660.0,0.8065612799999999
1659.0,0.80777088
1658.0,0.8225279999999999
1657.0,0.8309951999999999
1656.0,0.8316
1655.0,0.8337168
1654.0,0.840672
1653.0,0.8455104
1652.0,0.8545824
1651.0,0.858816
1650.0,0.8600256
1649.0,0.8600256000000001
1648.0,0.8690976
1647.0,0.8745408
1646.0,0.8763552000000001
1645.0,0.8769600000000001
1644.0,0.8802864
1643.0,0.8814960000000001
1642.0,0.8944991999999999
1641.0,0.8963135999999999
1640.0,0.9047807999999999
1639.0,0.905688
1638.0,0.9096192
1637.0,0.9253439999999999
1636.0,0.9265536
1635.0,0.92752128
1634.0,0.931392
1633.0,0.9362304
1632.0,0.938952
1631.0,0.9398591999999999
1630.0,0.9434880000000001
1629.0,0.94766112
1628.0,0.9483264
1627.0,0.96768
1626.0,0.9688896
1625.0,0.9725184000000001
1624.0,0.9870336
1623.0,0.9942911999999999
1622.0,0.9948960000000002
1621.0,0.9988272000000001
1619.0,0.9991296000000001
1619.0,0.9991296000000001
1618.0,1.00106496
1617.0,1.0088063999999999
1616.0,1.0112256
1615.0,1.0165176
1614.0,1.0209024
1613.0,1.0257408
1612.0,1.0269503999999998
1611.0,1.0281600000000002
1610.0,1.0287648
1609.0,1.0360224
1608.0,1.0366272
1607.0,1.0426752
1606.0,1.0450944
1605.0,1.0559808000000002
1604.0,1.0596096
1603.0,1.06387344
1602.0,1.064448
1601.0,1.0668672
1600.0,1.0680768
1599.0,1.070496
1598.0,1.0714939200000002
1596.0,1.0801728
1596.0,1.0801728
1595.0,1.08207792
1594.0,1.1055743999999998
1592.0,1.106784
1592.0,1.106784
1591.0,1.1104128
1590.0,1.1152512
1589.0,1.1225088
1588.0,1.1231136000000002
1587.0,1.1248100639999998
1586.0,1.1297664
1585.0,1.1303712
1584.0,1.1303712000000001
1583.0,1.1358144000000001
1582.0,1.14476544
1581.0,1.1488175999999999
1580.0,1.152144
1579.0,1.1587968
1578.0,1.1636352
1577.0,1.1642400000000002
1576.0,1.167264
1575.0,1.1684736
1574.0,1.1769408000000001
1572.0,1.1829888
1572.0,1.1829888
1571.0,1.1838959999999998
1570.0,1.18468224
1569.0,1.185408
1568.0,1.1890368
1566.0,1.1902464
1566.0,1.1902464
1565.0,1.1938752000000001
1564.0,1.2011328000000001
1563.0,1.20349152
1562.0,1.20569904
1560.0,1.2096
1560.0,1.2096
1559.0,1.221696
1556.0,1.2216960000000001
1556.0,1.2216960000000001
1556.0,1.2216960000000001
1555.0,1.233792
1554.0,1.2555648000000001
1553.0,1.25568576
1552.0,1.2561695999999998
1551.0,1.2573792
1549.0,1.257984
1549.0,1.257984
1548.0,1.2673584
1545.0,1.2700799999999999
1545.0,1.2700799999999999
1545.0,1.2700799999999999
1544.0,1.2706848
1543.0,1.2718944
1542.0,1.2802406400000002
1540.0,1.282176
1540.0,1.282176
1539.0,1.2942719999999999
1538.0,1.2991104
1537.0,1.2998361600000001
1536.0,1.30419072
1535.0,1.306368
1534.0,1.3166496
1530.0,1.3184639999999999
1530.0,1.3184639999999999
1530.0,1.3184639999999999
1530.0,1.3184639999999999
1529.0,1.3208832000000001
1528.0,1.32191136
1527.0,1.33400736
1526.0,1.3362148800000002
1525.0,1.3378176000000002
1524.0,1.3408416
