# of Flares,Detection Threshold (ph/cm^2)
188.0,0.0005253618760672311
187.0,0.001816682424609747
186.0,0.0029073710128690307
185.0,0.00467468590704266
184.0,0.00663845698354147
183.0,0.009417265038871137
182.0,0.012321882822509924
181.0,0.01246806577719356
180.0,0.016426824779853844
179.0,0.016617108768341635
178.0,0.028620567833349413
177.0,0.028682780003202485
176.0,0.028926501469810864
175.0,0.02904944095265821
174.0,0.03133151079855994
173.0,0.03194302539493977
172.0,0.04442401209515551
171.0,0.04493408906707463
170.0,0.04583222500163494
169.0,0.05369511027153579
168.0,0.06214781556242952
167.0,0.0635976807836444
166.0,0.0646652520825061
165.0,0.06705545307159952
164.0,0.07957692601393075
163.0,0.1071273096884353
162.0,0.1111491795927638
161.0,0.11453245277133953
160.0,0.1161774018152149
159.0,0.12151127309880935
158.0,0.12434860429070052
157.0,0.13643424590107517
156.0,0.13695676091546852
155.0,0.14104713608086378
154.0,0.14571953912189403
153.0,0.16236107521825652
152.0,0.18451441551298745
151.0,0.20296878584731753
150.0,0.21369881296556542
149.0,0.21466293768153677
148.0,0.21521537884419173
147.0,0.22625479831128634
146.0,0.24614765658289645
145.0,0.2491816433031852
144.0,0.26530491452472
143.0,0.2761045234866423
142.0,0.2768706931259917
141.0,0.28440611746325895
140.0,0.28579521238148053
139.0,0.2918850742530391
138.0,0.29965540378031247
137.0,0.30144232548952354
136.0,0.3140535723127348
135.0,0.3268286340028225
134.0,0.3400813693995767
133.0,0.373071527178243
132.0,0.37791646007315544
131.0,0.3958758921314379
130.0,0.43265885834659373
129.0,0.46831311047007707
128.0,0.540028165623662
127.0,0.5663168509181519
126.0,0.6088625040190692
125.0,0.6404783656849377
124.0,0.7027444975536621
123.0,0.7029261287505606
122.0,0.7275486620142153
121.0,0.7360803368474997
120.0,0.7638949182199455
119.0,0.7995624672229457
118.0,0.829075343691399
117.0,0.9900409850555448
116.0,0.9990668042034698
115.0,1.0106167631054668
114.0,1.0718890934615837
113.0,1.112565805346077
112.0,1.13480237703478
111.0,1.1791443517052038
110.0,1.2888425112680915
109.0,1.2948285271358932
108.0,1.441279544646168
107.0,1.5085681643903825
106.0,1.6436884475207538
105.0,1.686528647010778
104.0,1.7817042267221734
103.0,1.8961063970569112
102.0,1.9462660199622757
101.0,2.05686978747609
100.0,2.0609870336230007
99.0,2.3831453274558543
98.0,2.389499159510481
97.0,2.5751155654077347
96.0,2.6416062261611186
95.0,2.6686191951096054
94.0,2.716972579739711
93.0,2.799090883449363
92.0,3.097397024874786
91.0,3.099879131919251
90.0,3.4186484052725907
89.0,3.515929915104722
88.0,3.6263299245774117
87.0,3.9544098160399797
86.0,4.305497993111002
85.0,4.49555052399152
84.0,4.803510655658756
83.0,4.837371382667741
82.0,5.085570350767565
81.0,5.2174221244050765
80.0,5.286105436483734
79.0,5.418793580812742
78.0,5.449521573492372
77.0,5.503330986237311
76.0,5.68553849055532
75.0,5.791536793972467
74.0,6.440317737119751
73.0,6.50585036710242
72.0,7.245980214654011
71.0,7.272371252244117
70.0,7.284369934599156
69.0,7.429004612048513
68.0,7.86986690910691
67.0,9.086450339651877
66.0,9.383631880648455
65.0,10.196029708611663
64.0,12.199405688537853
63.0,12.342982056391644
62.0,12.685820164156798
61.0,13.077793165976312
60.0,13.117108608030955
59.0,13.458284768783003
58.0,14.546048471775164
57.0,15.277098614627391
56.0,15.479206281021154
55.0,15.86969341514267
54.0,18.435758746519134
53.0,19.182879052109612
52.0,20.341411474410773
51.0,21.179617767440806
50.0,21.21425640485029
49.0,22.77699133060945
48.0,24.723235888457534
47.0,28.79748530298325
46.0,29.46406062346309
45.0,32.432832128234544
44.0,36.85614788483937
43.0,47.86708224232709
42.0,53.76224594855936
41.0,61.80745196186453
40.0,63.98589220948969
39.0,73.37536981194073
38.0,82.62143565104422
37.0,84.73430496662505
36.0,95.16060371678144
35.0,103.48844449045905
34.0,104.60205538524482
33.0,116.12035421536365
32.0,116.91538421397583
31.0,134.078352862909
30.0,134.28885490806584
29.0,137.59255794499953
28.0,173.09111127249807
27.0,174.67019993750043
26.0,196.5661230347217
25.0,213.30823813262953
24.0,222.23059154273352
23.0,272.64992997538855
22.0,285.53142172167236
21.0,288.6661346389293
20.0,301.7770630437332
19.0,318.78578626662863
18.0,369.90070739679504
17.0,412.4836904407402
16.0,470.8445744729496
15.0,481.82209823414365
14.0,571.163907098574
13.0,661.9233461878331
12.0,845.0052974999724
11.0,845.5953937785616
10.0,1142.7514206541393
9.0,1413.323372705387
8.0,1643.209616659468
7.0,2444.2822089891524
6.0,3044.0774573107215
5.0,3948.9384459868256
4.0,4871.313071949227
3.0,11428.062112072104
2.0,14801.705356822436
1.0,22386.626227273668
0.0,321692.1442189654
