# of Flares,Detection Threshold (ph/cm^2)
417.0,0.0019580882878379967
416.0,0.002174997506963801
415.0,0.005188568233489171
414.0,0.0052638352045095965
413.0,0.00826575687268335
412.0,0.009044801272250337
411.0,0.009324784972958312
410.0,0.011295230415958027
409.0,0.012067457898559971
408.0,0.013262015218322667
407.0,0.013701766951526268
406.0,0.015773900306977395
405.0,0.016116618661967574
404.0,0.01754674426801659
403.0,0.01817895814565622
402.0,0.01897528246994715
401.0,0.01967121639041597
400.0,0.021350701224325502
399.0,0.022027775574716663
398.0,0.02528626879069748
397.0,0.029872302975246054
396.0,0.03348486358449777
395.0,0.03443534074174829
394.0,0.04033119480588822
393.0,0.0412436926647911
392.0,0.04270375638464838
391.0,0.0427560823632589
390.0,0.0434863155403646
389.0,0.05284065904808199
388.0,0.055066805490250476
387.0,0.060489174375458345
386.0,0.06279695955531768
385.0,0.06361346593855252
384.0,0.07175756077003106
383.0,0.07242439933839456
382.0,0.0816458206763982
381.0,0.0847513129002305
380.0,0.09451344522404598
379.0,0.09581158952444084
378.0,0.09745838845674024
377.0,0.0985657185328526
376.0,0.09862531165095333
375.0,0.1038648711214849
374.0,0.11136042087443353
373.0,0.11636538361036311
372.0,0.11739059829796095
371.0,0.1321435247941705
370.0,0.13367793598042962
369.0,0.14810361252508034
368.0,0.14861879987165444
367.0,0.1639986712353751
366.0,0.1681420735771308
365.0,0.170892720427591
364.0,0.1737330306040082
363.0,0.17581489386173071
362.0,0.17673833682745316
361.0,0.18138460631887213
360.0,0.1838353254083123
359.0,0.1841087728364451
358.0,0.18481223105604522
357.0,0.18575904903263166
356.0,0.18733915035480544
355.0,0.19102274442131292
354.0,0.19149684903087327
353.0,0.19835305248894688
352.0,0.20010305183117247
351.0,0.20995795662167518
350.0,0.23121169702422387
349.0,0.24074590323450126
348.0,0.24221389929269135
347.0,0.26362537068418507
346.0,0.26503570595136605
345.0,0.27451523195060823
344.0,0.2848708772994267
343.0,0.29348496387216644
342.0,0.2996565392204369
341.0,0.3046576754651808
340.0,0.3374653110892203
339.0,0.3485442868207235
338.0,0.35943977390421283
337.0,0.3668021802742737
336.0,0.38951906971184197
335.0,0.39414081545445573
334.0,0.3975410828047383
333.0,0.3988384588598251
332.0,0.406949510082927
331.0,0.43228163853364343
330.0,0.4336042007680288
329.0,0.4358061086307344
328.0,0.4593034383862931
327.0,0.4715138687286969
326.0,0.4872419938019218
325.0,0.5094614899975479
324.0,0.5199600175660192
323.0,0.5796254065402225
322.0,0.6079960388835239
321.0,0.6227083708440877
320.0,0.6263997134696564
319.0,0.6377705660721567
318.0,0.662140976848954
317.0,0.6632704505580583
316.0,0.6671370843547636
315.0,0.6672865964080669
314.0,0.696760177106628
313.0,0.7054064294763962
312.0,0.7160711407688606
311.0,0.7168347880938202
310.0,0.7529934483110307
309.0,0.7552304832227055
308.0,0.771662449619763
307.0,0.7829262191283524
306.0,0.7949549145568178
305.0,0.8458495441955929
304.0,0.8519083283443462
303.0,0.8714563714359301
302.0,0.8722916006556413
301.0,0.8905750627845052
300.0,0.894048917483179
299.0,0.9322897773025232
298.0,0.9422398457358122
297.0,0.985662285868143
296.0,0.9996993845442921
295.0,1.0322327617622877
294.0,1.115697228886946
293.0,1.1264699145372674
292.0,1.1289045466631318
291.0,1.129429008033839
290.0,1.1625222264786081
289.0,1.178169190286136
288.0,1.1942179904862746
287.0,1.197618702588863
286.0,1.2010934640635733
285.0,1.2697645099523631
284.0,1.3039569409633918
283.0,1.3071845571538951
282.0,1.381549049052966
281.0,1.4010963647703276
280.0,1.422570678251992
279.0,1.427885970215267
278.0,1.4713171928869881
277.0,1.4782482152505778
