# of Flares,Detection Threshold (ph/cm^2)
255.0,0.03397435877557795
254.0,0.12018937478172442
253.0,0.12759870889503053
252.0,0.12841828773242184
251.0,0.13275589168579088
250.0,0.14643641986534825
249.0,0.1464980775947221
248.0,0.22213417645386044
247.0,0.23625671014015145
246.0,0.24833797830123197
245.0,0.2904382676126231
244.0,0.31029894893564025
243.0,0.3183506535066453
242.0,0.4249559507009188
241.0,0.44712729162222487
240.0,0.4884616897315703
239.0,0.5072034702554589
238.0,0.5629156761807151
237.0,0.7545607058108659
236.0,0.7738206805514957
235.0,0.7884474351331757
234.0,0.807096485895062
233.0,0.8074650579667781
232.0,0.8829019977983883
231.0,0.9062422439116841
230.0,0.9722358699064514
229.0,1.1464660395470427
228.0,1.3068819281517394
227.0,1.426043528553488
226.0,1.4864151536156773
225.0,1.5203053044530745
224.0,1.5299760800082056
223.0,1.6321661482436742
222.0,1.7189900062367292
221.0,1.9941382349265746
220.0,2.037587607213042
219.0,2.074971388799322
218.0,2.1603277614778182
217.0,2.308845400123756
216.0,2.351084219698634
215.0,2.3957973414539744
214.0,2.4018645611613607
213.0,2.4510290954348117
212.0,2.500928289095718
211.0,2.5128997327953018
210.0,2.5197314308255447
209.0,2.577103074858079
208.0,2.6073474963078556
207.0,2.6809638153842985
206.0,2.7127894842676556
205.0,2.766031100265442
204.0,2.793771426898845
203.0,2.817947367995175
202.0,2.9983462720853034
201.0,3.073050576904517
200.0,3.1030504276184407
199.0,3.194325986359346
198.0,3.210912440524153
197.0,3.2677101564593047
196.0,3.30587473081692
195.0,3.3686432887051523
194.0,3.3870814139617935
193.0,3.4601884525426647
192.0,3.675614665247333
191.0,3.752943181582729
190.0,3.9808658189838693
189.0,4.087791855956814
188.0,4.302978778890964
187.0,4.5358649060499
186.0,4.5722556186610435
185.0,4.679356502229627
184.0,5.191181286169622
183.0,5.3238233995382
182.0,5.472201978120647
181.0,5.5642707194465295
180.0,5.765005790418152
179.0,5.77538603361193
178.0,5.896024954864141
177.0,5.92853400403823
176.0,6.039165746043194
175.0,6.46930602619469
174.0,6.735797807026057
173.0,7.056908162855487
172.0,7.066253166956952
171.0,7.072542373232951
170.0,7.191636512071019
169.0,7.3714477839759684
168.0,7.636878307336315
167.0,8.445669344167875
166.0,8.611916098441144
165.0,8.756705485161442
164.0,8.826090098358454
163.0,8.834638066504278
162.0,8.908878722525323
161.0,8.980760976865028
160.0,9.250774960663332
159.0,9.651285282735767
158.0,9.938810003570273
157.0,10.296934700515578
156.0,10.394717494614921
155.0,10.660260086309085
154.0,10.746453781537484
153.0,10.839135779072475
152.0,10.911577986628869
151.0,11.236140361047962
150.0,11.447747666635246
149.0,11.755421098493173
148.0,12.068067950955692
147.0,12.38559621523342
146.0,12.442243336064724
145.0,12.710435083837089
144.0,13.588122928597189
143.0,13.929839948292287
142.0,14.588209116540053
141.0,14.852930918807903
140.0,15.66366279683235
139.0,15.66877789830641
138.0,16.40112338048736
137.0,17.063874013724238
136.0,17.760230753191525
135.0,17.99007763251182
134.0,18.234457139504045
133.0,19.144867644390906
132.0,19.193669945755854
131.0,19.228106079064588
130.0,19.751886756883312
129.0,19.84619675332653
128.0,20.50589748795449
127.0,20.72670080971197
126.0,21.01206659134953
125.0,22.00751077534854
124.0,22.29246656896438
123.0,23.132791754403822
122.0,23.633739996612164
121.0,24.677594061395144
120.0,24.800091143829864
119.0,26.37449033733326
118.0,27.22712298941485
117.0,27.52740904646639
116.0,28.097248237255766
115.0,28.287103614146012
114.0,28.70289672066613
113.0,29.026448572661074
112.0,29.62520148221974
111.0,29.735067147922383
110.0,32.209690700278834
109.0,32.7738604372909
108.0,33.12049724510987
107.0,34.638038362280696
106.0,34.803679392298775
